site,Plot ID,Plot ID_input,Plant ID,Plant No. in plot,Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",PIT1,PIT2,PIT3,Planting Date,T1 Date,T2Date,T3Date,T1 (DAP),T2(DAP),T3(DAP)
1,18,18,P1,,3,3.1,0.3,3,9.5,0.4,4,3.4,0.2,3.092109998,3.42145739,4.108528608,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,18,,P2,,2,5.5,1.3,3,5.3,0.3,4,3.9,0.8,2.546634914,3.261664317,4.280714713,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,18,,P3,,2,8.8,2.3,3,5.9,0.2,4,2.6,0.3,2.937860365,3.253712354,4.018162074,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,19,19,P1,,2,2.8,1.7,4,3.2,0.4,4,7.1,1.4,2.227115614,4.118714603,4.642885906,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,19,,P2,,2,3.9,0.8,3,2.7,0.5,3,8.9,1.3,2.280714713,3.045636319,3.66006608,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,19,,P3,,1,7.5,0.4,2,4,0.4,2,14.4,2.2,1.374800297,2.204119983,2.93195904,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,20,20,P1,,3,2.6,0.7,3,8.5,2.4,4,3.2,0.5,3.02988959,3.967719376,4.132985156,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,20,,P2,,2,8.7,2.4,3,8.2,2.3,4,7.6,2.3,2.968302319,3.934408459,4.930238555,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,20,,P3,,3,4.5,1.3,4,4.1,1.1,5,4.6,1.4,3.473367519,4.376001343,5.512587205,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,21,21,P1,,3,3.7,1.3,4,3,0.4,4,9,0.5,3.374812499,4.090486517,4.443172696,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,21,,P2,,2,8,1.5,4,5.4,0.3,4,14.3,2.3,2.694843002,4.266439159,4.954370214,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,21,,P3,,3,3.4,0.9,3,10.8,1.2,3,20.3,1.8,3.231341798,3.665956233,3.864413312,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,22,22,P1,,3,5.5,1.5,4,4.8,2,5,4,1.4,3.606840365,4.74511534,5.447698346,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,22,,P2,,3,4.2,1.1,4,3.2,0.5,4,11.1,0.9,3.387224756,4.132985156,4.593341177,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,22,,P3,,3,5.4,1,4,3.4,1.1,5,3.5,0.9,3.456658384,4.272480432,5.247747897,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,23,23,P1,,2,7.2,1.8,3,6.6,1.7,4,6.8,1.9,2.763034406,3.715680691,4.784767017,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,23,,P2,,2,4.7,0.7,3,3.3,0.9,4,3.2,0.9,2.33150896,3.21368073,4.194606128,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,23,,P3,,2,7.2,1.4,2,8.8,2.1,3,6.9,21,2.645935892,2.878314044,2.087843896,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,24,24,P1,,2,4.8,1.4,3,4.7,2.3,4,6,1.6,2.529422985,3.883325804,4.662352842,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,24,,P2,,2,6.9,2.4,3,5.7,2.4,4,6.1,1,2.961344736,3.952806803,4.493282961,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,24,,P3,,2,4.2,1.3,3,5.5,1.3,4,4.9,1.3,2.44238495,3.546634914,4.507166487,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,25,25,P1,,3,2.3,0.7,4,2.6,0.8,5,2.6,0.9,2.929906922,4.033275821,5.036970261,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,25,,P2,,2,3.9,0.8,3,2.7,1.1,4,3.1,0.9,2.280714713,3.085708293,4.173931015,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,25,,P3,,2,6,1,3,3.8,1.1,4,4.3,1.5,2.488608406,3.337753822,4.514954503,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,26,26,P1,,2,4.4,1.2,3,4.4,1.4,4,3.5,1,2.435096754,3.493666808,4.268584118,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,26,,P2,,2,5.6,1,3,3,0.9,3,10.6,1.5,2.468128339,3.151433285,3.738760087,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,26,,P3,,2,2.8,0.8,2,10.6,2.2,3,7.8,2.3,2.090462991,2.918701574,3.931722395,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,27,27,P1,,3,3.2,1.4,4,4.8,1.1,5,2.7,0.8,3.298616761,4.442762944,5.063269761,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,27,,P2,,4,3,1.2,5,3,0.9,6,5.3,1.3,4.198977847,5.151433285,6.534685359,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,27,,P3,,3,4,1.8,4,2.8,1.5,5,3.8,1.1,3.588602504,4.181571582,5.337753822,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,28,28,P1,,3,5.9,1.8,4,8,2,5,2.9,0.8,3.723287094,4.839035953,5.115245961,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,28,,P2,,2,4.2,2,3,6.1,1.8,4,5.5,2,2.699242055,3.730845145,4.779415431,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,28,,P3,,2,3,1,3,2.6,0.4,3,6.3,2.1,2.165956233,3.02095345,3.841296708,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,29,29,P1,,2,5,1.1,2,5.5,1.5,3,5.3,1.4,2.457786464,2.606840365,3.564450547,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,29,,P2,,2,5.5,2.4,2,8.6,1.6,3,5.8,1.9,2.950774134,2.734630696,3.754089736,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,29,,P3,,2,4.3,0.6,3,3,0.4,3,7.9,0.3,2.275369706,3.090486517,3.351767004,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,30,30,P1,,3,3.5,1.3,4,4,1.4,5,4.6,1.5,3.339734125,4.447698346,5.544146317,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,30,,P2,,2,3.8,0.7,3,2.7,0.7,3,7.6,2.3,2.247512131,3.057011273,3.930238555,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,30,,P3,,2,8,2,4,3.4,1.2,5,3.6,1.1,2.839035953,4.295245625,5.307553842,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,31,31,P1,,,,,,,,,,,,,,,,,,,,
1,31,,P2,,,,,,,,,,,,,,,,,,,,
1,31,,P3,,,,,,,,,,,,,,,,,,,,
1,32,32,P1,,2,5,0.8,3,2.6,1.1,3,8.9,1.5,2.378235399,3.04559481,3.713113786,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,32,,P2,,2,4.5,0.8,2,13.4,1.8,3,7.3,1.2,2.340307744,2.836359005,3.593493373,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,32,,P3,,2,4,0.8,3,2.9,1,3,11.1,1.6,2.292029674,3.139399369,3.76959185,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,33,33,P1,,,,,,,,,,,,,,,,4/14/2016,,,,
1,33,,P2,,,,,,,,,,,,,,,,4/14/2016,,,,
1,33,,P3,,,,,,,,,,,,,,,,4/14/2016,,,,
1,34,34,P1,,2,9.3,2.4,3,11,2.1,4,6.8,1.3,2.969862962,3.894711463,4.604772797,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,34,,P2,,3,3,1,4,3.2,1,5,2.9,0.9,3.165956233,4.212233939,5.12684698,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,34,,P3,,2,6,0.7,3,4.5,1.1,4,3,0.6,2.407491489,3.417234769,4.113282753,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,35,35,P1,,,,,,,,,,,,,,,,4/14/2016,,,,
1,35,,P2,,,,,,,,,,,,,,,,4/14/2016,,,,
1,35,,P3,,,,,,,,,,,,,,,,4/14/2016,,,,
1,36,36,P1,,,,,,,,,,,,,,,,4/14/2016,,,,
1,36,,P2,,,,,,,,,,,,,,,,4/14/2016,,,,
1,36,,P3,,,,,,,,,,,,,,,,4/14/2016,,,,
1,37,37,P1,,2,4.6,1.2,3,2.8,1.1,3,7.9,2,2.453784181,3.121296762,3.837562044,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
