"","plot","HNO","DWTOTALLEAF","DWMSL","DWLBR","DWTOTALSTEM","DWAP","DWGP","DWMP","DWPOD","WHOLE","geno","DAP","site"
"96","110",8,5.569,2.749,2.82,3.56,NA,NA,NA,0.353,9.482,"RIJC352",62,1
"97","110",9,8.03,NA,8.03,5.81,NA,NA,NA,3.953,17.793,"RIJC352",69,1
"98","110",10,0,NA,NA,1.691,0.2371,NA,NA,1.80776666666667,3.49876666666667,"RIJC352",76,1
"99","110",11,1.397,NA,1.397,4.103,NA,NA,5.894,5.894,11.394,"RIJC352",99,1
"100","111",3,0.518,0.518,NA,0.107,NA,NA,NA,0,0.625,"RIJC314",27,1
"101","111",6,6.7,4.121,2.579,3.809,NA,NA,NA,4.121,14.63,"RIJC314",48,1
"102","111",8,11.089,5.029,6.06,5.79,NA,NA,NA,2.365,19.244,"RIJC314",62,1
"103","111",10,11.36,NA,11.36,14.13,0.168,NA,41,41.168,66.658,"RIJC314",76,1
"104","111",5,4.194,2.396,1.798,2.102,NA,NA,NA,0,6.296,"RIJC314",41,1
"105","111",1,0.0813,0.0813,NA,0.0124,NA,NA,NA,0,0.0937,"RIJC314",13,1
"106","111",7,6.809,3.889,2.92,3.4,NA,NA,NA,0.513,10.722,"RIJC314",55,1
"107","111",2,0.5211,0.4993,0.0218,0.1144,NA,NA,NA,0,0.6355,"RIJC314",20,1
"108","112",1,0.076,0.076,NA,0.0202,NA,NA,NA,0,0.0962,"RIJC235",13,1
"109","112",6,11.089,4.611,6.478,7.037,NA,NA,NA,0,18.126,"RIJC235",48,1
"110","112",8,30.49,6.28,24.21,81.87,NA,NA,NA,13.031,125.391,"RIJC235",62,1
"111","112",9,19.705,NA,19.705,18.04,NA,NA,NA,10.521,48.266,"RIJC235",69,1
"112","112",10,9.1,NA,9.1,9.52,0.018,NA,NA,11.261,29.881,"RIJC235",76,1
"113","112",11,9.439,NA,9.439,42.84,7.677,NA,4.925,12.602,64.881,"RIJC235",110,1
"114","113",5,1.314,1.152,0.162,0.575,NA,NA,NA,0,1.889,"RIJC076",41,1
"115","113",7,2.462,1.662,0.8,1.47,NA,NA,NA,2.143,6.075,"RIJC076",55,1
"116","113",2,0.1227,0.1227,NA,0.041,NA,NA,NA,0,0.1637,"RIJC076",20,1
"117","113",10,1.78,NA,1.78,3.48,2.752,NA,NA,9,14.26,"RIJC076",76,1
"118","113",6,7.16,1.51,5.65,5.36,NA,0.269,NA,0.269,12.789,"RIJC076",48,1
"119","113",11,2.59,NA,2.59,NA,NA,NA,6.41,6.41,9,"RIJC076",111,1
"120","113",8,5.655,1.905,3.75,4.65,NA,NA,NA,5.083,15.388,"RIJC076",62,1
"121","113",3,0.273,0.273,NA,0.055,NA,NA,NA,0,0.328,"RIJC076",27,1
"122","113",1,0.0482,0.0482,NA,0.0115,NA,NA,NA,0,0.0597,"RIJC076",13,1
"123","114",10,6.37,NA,6.37,4.91,NA,NA,NA,2.148,13.428,"RIJC241",76,1
"124","114",11,3.72,NA,3.72,14.63,2.686,0.69,9.357,12.733,31.083,"RIJC241",111,1
"125","115",1,0.0966,0.0966,NA,0.0223,NA,NA,NA,0,0.1189,"RIJC244",13,1
"126","115",5,1.126,0.63,0.496,0.553,NA,0.154,NA,0.154,1.833,"RIJC244",41,1
"127","115",6,5.705,2.129,3.576,3.79,NA,NA,NA,0.321,9.816,"RIJC244",48,1
"128","115",8,1.872,1.273,0.599,0.602,NA,NA,NA,0.584,3.058,"RIJC244",62,1
"129","115",11,0.692,NA,0.692,9.41,1.262,NA,13.537,14.799,24.901,"RIJC244",106,1
"130","115",7,6.803,1.983,4.82,2.88,NA,NA,NA,0.116,9.799,"RIJC244",55,1
"131","115",2,0.3503,0.3503,NA,0.0823,NA,NA,NA,0,0.4326,"RIJC244",20,1
"132","115",10,2.99,NA,2.99,2.34,0.025,NA,NA,1.863,7.193,"RIJC244",76,1
"133","115",3,0.499,0.499,NA,0.135,NA,NA,NA,0,0.634,"RIJC244",27,1
"134","116",1,0.2361,0.2361,NA,0.0315,NA,NA,NA,0,0.2676,"TM7",13,1
"135","116",2,0.4558,0.4558,NA,0.0717,NA,NA,NA,0,0.5275,"TM7",20,1
"136","116",3,1.953,1.752,0.201,0.508,NA,NA,NA,0,2.461,"TM7",27,1
"137","116",5,4.236,2.781,1.455,2.517,NA,NA,NA,0,6.753,"TM7",41,1
"138","116",6,13.578,4.702,8.876,8.336,NA,NA,NA,0.686,22.6,"TM7",48,1
"139","116",7,15.866,6.726,9.14,9.3,NA,NA,NA,11.442,36.608,"TM7",55,1
"140","116",11,3.97,NA,3.97,10.82,NA,1.48,68.58,70.06,84.85,"TM7",83,1
"141","116",9,21,NA,21,14.9,NA,NA,NA,65.66,101.56,"TM7",69,1
"142","116",8,12.3,4.97,7.33,9.81,NA,NA,NA,21.88,43.99,"TM7",62,1
"143","116",10,28.465,NA,28.465,43.975,0.1815,NA,NA,71.9915,144.4315,"TM7",76,1
"144","117",1,0.127,0.127,NA,0.0245,NA,NA,NA,0,0.1515,"RIJC035",13,1
"145","117",2,0.4296,0.4296,NA,0.0815,NA,NA,NA,0,0.5111,"RIJC035",20,1
"146","117",3,0.999,0.956,0.043,0.226,NA,NA,NA,0,1.225,"RIJC035",27,1
"147","117",5,5.728,2.126,3.602,3.044,NA,NA,NA,0.332,9.104,"RIJC035",41,1
"148","117",7,10.013,2.063,7.95,7.92,NA,NA,NA,1.499,19.432,"RIJC035",55,1
"149","117",8,14.462,1.465,12.997,15.575,NA,NA,NA,7.683,37.72,"RIJC035",62,1
"150","117",10,10.91,NA,10.91,9.64,NA,NA,NA,5.126,25.676,"RIJC035",76,1
"151","117",11,2.47,NA,2.47,19.5,2.11,NA,NA,41.19,63.16,"RIJC035",106,1
"152","118",1,0.1659,0.1659,NA,0.03,NA,NA,NA,0,0.1959,"RIJC030",13,1
"153","118",10,0,NA,NA,11.06,0.14245,NA,NA,0.31455,11.37455,"RIJC030",76,1
"154","118",7,17.1,6.61,10.49,7.03,NA,NA,NA,0,24.13,"RIJC030",55,1
"155","118",9,22.46,NA,22.46,20.81,0.395,NA,NA,1.263,44.533,"RIJC030",69,1
"156","118",5,4.424,3.455,0.969,1.627,NA,NA,NA,0,6.051,"RIJC030",41,1
"157","118",11,66.19,NA,66.19,103.24,1.278,0.339,8.485,10.102,179.532,"RIJC030",110,1
"158","118",8,24.17,7.12,17.05,12.63,NA,NA,NA,1.829,38.629,"RIJC030",62,1
"159","119",5,2.162,1.903,0.259,0.96,NA,NA,NA,0,3.122,"RIJC021",41,1
"160","119",10,6.77,NA,6.77,11.34,0.126,NA,NA,24.154,42.264,"RIJC021",76,1
"161","119",8,12.518,3.76,8.758,11.808,NA,NA,NA,11.874,36.2,"RIJC021",62,1
"162","119",1,0.1378,0.1378,NA,0.0279,NA,NA,NA,0,0.1657,"RIJC021",13,1
"163","119",11,0,NA,NA,10.21,4.872,0.017,15.448,20.337,30.547,"RIJC021",111,1
"164","119",2,0.5515,0.4528,0.0987,NA,NA,NA,NA,0,0.5515,"RIJC021",20,1
"165","12",3,0.895,0.895,NA,0.121,NA,NA,NA,0,1.016,"RIJC025",27,1
"166","12",8,15.162,2.952,12.21,13.28,NA,NA,NA,1.998,30.44,"RIJC025",62,1
"167","12",11,0.445,NA,0.445,24.13,1.737,NA,20.623,22.36,46.935,"RIJC025",111,1
"168","12",7,13.527,3.427,10.1,8.69,NA,NA,NA,0.592,22.809,"RIJC025",55,1
"169","12",5,7.986,4.602,3.384,2.842,NA,NA,NA,0,10.828,"RIJC025",41,1
"170","12",9,25.57,NA,25.57,19.13,0.676,NA,NA,11.847,56.547,"RIJC025",69,1
"171","12",6,11.738,4.458,7.28,4.48,NA,NA,NA,0,16.218,"RIJC025",48,1
"172","120",6,11.333,5.573,5.76,6.17,NA,NA,NA,0,17.503,"RIJC144",48,1
"173","120",8,27.92,6.09,21.83,17.41,NA,NA,NA,0.705,46.035,"RIJC144",62,1
"174","120",5,7.621,5.49,2.131,3.373,NA,NA,NA,0,10.994,"RIJC144",41,1
"175","120",11,39.8,NA,39.8,55.3,1.45,NA,5.79,7.24,102.34,"RIJC144",111,1
"176","120",7,18.846,6.116,12.73,13.78,NA,NA,NA,0.883,33.509,"RIJC144",55,1
"177","120",10,6.56,NA,6.56,7.09,NA,NA,NA,3.187,16.837,"RIJC144",76,1
"178","120",2,0.3426,0.3426,NA,0.0624,NA,NA,NA,0,0.405,"RIJC144",20,1
"179","120",1,0.0663,0.0663,NA,0.0148,NA,NA,NA,0,0.0811,"RIJC144",13,1
"180","121",1,0.1136,0.1136,NA,0.0253,NA,NA,NA,0,0.1389,"RIJC205",14,1
"181","121",2,0.3681,0.3681,NA,0.743,NA,NA,NA,0,1.1111,"RIJC205",21,1
"182","121",7,39.74,5.29,34.45,31.26,NA,NA,NA,7.29,78.29,"RIJC205",56,1
"183","121",4,7.436,2.759,4.677,3.566,NA,NA,NA,0,11.002,"RIJC205",35,1
"184","121",9,14.92,NA,14.92,24.125,0.176,NA,NA,0.6485,39.6935,"RIJC205",70,1
"185","121",10,27.06,NA,27.06,85.97,2.916,NA,NA,45.876,158.906,"RIJC205",77,1
"186","121",11,59.49,NA,59.49,86.93,1.7,NA,21.37,23.07,169.49,"RIJC205",111,1
"187","121",3,2.254,1.773,0.481,0.649,NA,NA,NA,0,2.903,"RIJC205",28,1
"188","121",6,17.55,4.38,13.17,14.64,NA,NA,NA,0.282,32.472,"RIJC205",49,1
"189","121",5,12.4705,3.452,9.0185,8.027,NA,NA,NA,0,20.4975,"RIJC205",42,1
"190","121",8,26.307,3.457,22.85,31.06,NA,NA,NA,3.647,61.014,"RIJC205",63,1
"191","122",5,6.624,2.366,4.258,2.674,NA,NA,NA,0,9.298,"RIJC313",42,1
"192","122",1,0.1095,0.1095,NA,0.0173,NA,NA,NA,0,0.1268,"RIJC313",14,1
"193","122",4,4.615,2.668,1.947,1.433,NA,NA,NA,0,6.048,"RIJC313",35,1
"194","122",6,16.787,2.797,13.99,18.06,NA,NA,NA,2.358,37.205,"RIJC313",49,1
"195","122",11,0.59,NA,0.59,16.84,1.618,NA,17.903,19.521,36.951,"RIJC313",111,1
"196","122",8,29.1945,6.2925,22.902,31.5,NA,NA,NA,14.903,75.5975,"RIJC313",63,1
"197","122",10,24.57,NA,24.57,45.82,6.606,NA,NA,65.071,135.461,"RIJC313",77,1
"198","122",9,10.04,NA,10.04,11.82,2.095,NA,NA,6.168,28.028,"RIJC313",70,1
"199","122",7,26.885,4.435,22.45,52.48,NA,NA,NA,8.56,87.925,"RIJC313",56,1
"200","123",6,6.942,4.372,2.57,1.02,NA,NA,NA,0,7.962,"RIJC141",49,1
"201","123",10,12,NA,12,42.7,5.688,NA,NA,35.234,89.934,"RIJC141",77,1
"202","123",4,3.276,2.898,0.378,0.968,NA,NA,NA,0,4.244,"RIJC141",35,1
"203","123",5,16.19,7.553,8.637,7.517,NA,NA,NA,0,23.707,"RIJC141",42,1
"204","124",8,32.327,2.517,29.81,17.79,NA,NA,NA,3.097,53.214,"RIJC368",63,1
"205","124",10,7.32,NA,7.32,27.93,5.336,NA,NA,68.736,103.986,"RIJC368",77,1
"206","124",11,12.99,NA,12.99,76.43,5.16,NA,NA,30.32,119.74,"RIJC368",112,1
"207","124",4,5.003,3.62,1.383,1.516,NA,NA,NA,0,6.519,"RIJC368",35,1
"208","124",5,14.844,7.487,7.357,5.589,NA,NA,NA,0,20.433,"RIJC368",42,1
"209","125",11,60.79,NA,60.79,110.69,1.77,1.419,11.546,14.735,186.215,"RIJC370",112,1
"210","125",8,25.512,6.542,18.97,12.19,NA,NA,NA,0.596,38.298,"RIJC370",63,1
"211","125",10,33.64,NA,33.64,34.8,0.03,NA,NA,1.01,69.45,"RIJC370",77,1
"212","126",5,19.903,7.452,12.451,9.017,NA,NA,NA,0,28.92,"JAM",42,1
"213","126",7,27.738,7.718,20.02,14.29,NA,NA,NA,8.046,50.074,"JAM",56,1
"214","126",3,2.546,2.306,0.24,0.588,NA,NA,NA,0,3.134,"JAM",28,1
"215","126",10,17.84,NA,17.84,24.32,0.65,NA,NA,61.9,104.06,"JAM",77,1
"216","126",6,17.099,7.209,9.89,11.28,NA,NA,NA,0.421,28.8,"JAM",49,1
"217","126",1,0.1209,0.1209,NA,0.0285,NA,NA,NA,0,0.1494,"JAM",14,1
"218","126",8,26.979,10.326,16.653,19.163,NA,NA,NA,10.942,57.084,"JAM",63,1
"219","126",2,0.5087,0.5087,NA,0.0761,NA,NA,NA,0,0.5848,"JAM",21,1
"220","126",11,25.96,NA,25.96,52.42,NA,NA,115.89,115.89,194.27,"JAM",112,1
"221","127",1,0.0928,0.0928,NA,0.0226,NA,NA,NA,0,0.1154,"RIJC046",14,1
"222","127",6,21.51,8.22,13.29,13.16,NA,NA,NA,0,34.67,"RIJC046",49,1
"223","127",3,2.677,1.93,0.747,0.709,NA,NA,NA,0,3.386,"RIJC046",28,1
"224","127",8,29.311,3.671,25.64,30.23,NA,NA,NA,7.237,66.778,"RIJC046",63,1
"225","127",10,24.26,NA,24.26,35.14,0.93,NA,NA,12.79,72.19,"RIJC046",77,1
"226","127",11,27.69,NA,27.69,68.32,4.67,0.19,58.27,63.13,159.14,"RIJC046",95,1
"227","127",2,0.6905,0.6855,0.005,0.1194,NA,NA,NA,0,0.8099,"RIJC046",21,1
"228","127",5,27.574,5.96,21.614,17.187,NA,NA,NA,0,44.761,"RIJC046",42,1
"229","127",4,7.545,4.474,3.071,2.947,NA,NA,NA,0,10.492,"RIJC046",35,1
"230","127",7,64.356,10.956,53.4,43.82,NA,NA,NA,4.344,112.52,"RIJC046",56,1
"231","128",3,2.058,1.853,0.205,0.515,NA,NA,NA,0,2.573,"RIJC066",28,1
"232","128",1,0,NA,NA,0.0435,NA,NA,NA,0,0.0435,"RIJC066",14,1
"233","128",2,0.9184,0.9184,NA,0.1494,NA,NA,NA,0,1.0678,"RIJC066",21,1
"234","128",4,6.684,4.656,2.028,2.321,NA,NA,NA,0,9.005,"RIJC066",35,1
"235","128",10,31.82,NA,31.82,37.87,0.461,NA,NA,34.957,104.647,"RIJC066",77,1
"236","128",6,38.308,8.568,29.74,28.12,NA,NA,NA,1.984,68.412,"RIJC066",49,1
"237","128",9,27.55,NA,27.55,30.1,1.09,NA,NA,16.6,74.25,"RIJC066",70,1
"238","128",7,34.624,4.894,29.73,23.75,NA,NA,NA,6.898,65.272,"RIJC066",56,1
"239","128",5,12.278,5.847,6.431,3.989,NA,NA,NA,0,16.267,"RIJC066",42,1
"240","129",5,12.884,3.273,9.611,3.102,NA,NA,NA,0,15.986,"RIJC234",42,1
"241","129",6,22.95,7.61,15.34,14.75,NA,NA,NA,0,37.7,"RIJC234",49,1
"242","129",8,33.689,4.779,28.91,34.87,NA,NA,NA,6.64,75.199,"RIJC234",63,1
