HNO,plot,DWTOTALLEAF,DWMSL,DWBL,TOTALSTEM,DWAP,DWGP,DWPOD,DWMP,WHOLE
5,43,,2.416,7.962,4.899,,,,,
6,43,,8.417,19.78,13.18,,0.287,,,
7,43,,4.495,7.95,15.31,,,,,
9,43,,,27.63,59.71,0.312,,39.089,,
11,44,,,8.789,67.21,4.355,0,,7.605,
10,44,,,40.94,57.3,0.247,,9.494,,
4,44,,2.75,1.37,2.4,,,,,
11,45,,,.,33.77,2.808,,,14.102,
1,45,,0.1793,,0.0193,,,,,
10,45,,0,15.9,24.17,4.82,,9.14,,
2,45,,0.4071,0.0067,0.0645,,,,,
3,45,,1.333,0.144,0.333,,,,,
4,45,,2.2256,0.938,1.1348,,,,,
5,45,,3.943,3.085,3.187,,,,,
6,45,,4.715,5.765,6.25,,,0.186,,
7,45,,7.493,26.83,23.09,,,3.033,,
8,45,,4.931,42.17,58.06,,,23.362,,
11,46,,,19.92,103.97,12.81,0,23.64,,
1,46,,,,0.0108,,,,,
1,46,,0.068,,,,,,,
10,46,,,25.96,41.46,0.05,,13.05,,
5,46,,2.178,5.388,3.718,,,,,
6,46,,5.111,12.14,8.82,,,,,
7,46,,3.842,13.42,8.04,,,0.954,,
8,46,,1.195,27.12,38.26,,,7.601,,
9,46,,0,27.14,41.55,0.775,,10.082,,
11,47,,0,1.83,31.02,4.66,,0.28,20.62,
4,47,,9.63,15.1,16.61,,,,,
11,48,,,.,19.29,3.39,.,22.65,,
1,48,,,,0.0109,,,,,
1,48,,0.086,,,,,,,
10,48,,,16.4,43.67,2.751,,42.43,,
2,48,,0.5498,0.0123,0.0943,,,,,
3,48,,1.577,0.58,0.505,,,,,
4,48,,2.199,1.989,1.459,,,,,
5,48,,3.201,10.313,8.154,,,1.326,,
6,48,,5.329,16.182,11.825,,,2.657,,
7,48,,2.501,14.04,11.53,,,6.836,,
8,48,,3.849,21.21,31.22,,,31.15,,
11,49,,,2.61,19.07,,,,78.56,
11,49,,,,,1.09,4.75,,,
1,49,,0.1445,*,0.0203,,,,,
2,49,,0.7017,,0.1154,,,,,
3,49,,2.175,0.822,0.659,,,,,
4,49,,4.7512,2.0359,1.9785,,,,,
5,49,,6.229,7.257,6.751,,,,,
6,49,,6.644,10.567,11.33,,,0.326,,
7,49,,9.782,13.69,14.7,,,1.405,,
8,49,,4.171,13.438,19.691,,,20.551,,
11,50,,,15.447,40.72,6.272,0,,17.351,
5,50,,7.578,4.771,4.218,,,,,
6,50,,8.559,5.2,5.369,,,,,
7,50,,11.54,48.85,27.47,,,0.481,,
8,50,,15.047,49.97,43.92,0,,5.48,,
11,51,,,2.444,43.98,3.603,,,9.772,
1,51,,0.2129,*,0.0294,,,,,
2,51,,0.57,0.0046,0.0893,,,,,
3,51,,2.131,0.112,0.512,,,,,
4,51,,4.2489,2.003,2.3238,,,,,
5,51,,4.951,5.648,6.041,,,,,
6,51,,6.934,13.82,12.15,,,,,
7,51,,9.84,43.78,33.92,,,4.27,,
8,51,,8.467,47.06,53.08,,,9.715,,
11,52,,,0.103,36.181,1.079,0,,24.607,
1,52,,0.0619,*,0.0109,,,,,
10,52,,,36.66,74.2,0.29,,60.75,,
2,52,,0.2956,,0.0523,,,,,
3,52,,1.93,0.094,0.397,,,,,
4,52,,2.3009,0.3778,0.9627,,,,,
5,52,,7.332,9.426,8.812,,,,,
6,52,,7.201,9.67,11.77,,,,,
7,52,,7.899,15.58,17.84,,,0.545,,
8,52,,16.06,48.57,47.6,,,20.264,,
11,53,,,0,28.38,1.176,0.003,,32.348,
1,53,,0.133,*,0.0211,,,,,
2,53,,0.5079,,0.0635,,,,,
3,53,,1.442,0.336,0.345,,,,,
4,53,,3.217,1.127,1.225,,,,,
5,53,,3.617,3.49,3.504,,,,,
6,53,,3.435,9.572,7.751,,,,,
7,53,,4.938,18.67,20.31,,,8.958,,
8,53,,2.854,14.39,21.11,,,13.253,,
9,53,,,21.69,35.01,2.882,,34.869,,
11,54,,,1.88,18.51,2.61,0.49,,10.34,
1,54,,0.2707,*,,,,,,
1,54,,,,0.0481,,,,,
10,54,,.,12.88,36.12,2.5,,50.92,,
2,54,,0.5398,*,0.3006,,,,,
3,54,,1.474,0.436,0.533,,,,,
