HNO,plot,DWTOTALLEAF,DWMSL,DWBL,TOTALSTEM,DWAP,DWGP,DWPOD,DWMP,WHOLE
5,139,,3.905,2.844,2.862,,,,,
6,139,,7.041,9.46,11.35,,,0.796,,
7,139,,5.606,16.93,11.63,,,16.142,,
8,139,,9.45,6.8,11.64,,,40.43,,
9,139,,,15.61,22.97,1.29,,52.13,,
11,140,,,1.66,20.04,9.42,0.3,,9.94,
1,140,,0.1557,,0.0996,,,,,
1,140,,0.1669,*,0.0313,,,,,
10,140,,,16.65,53.47,1.88,,0.13,27.23,
10,140,,,8.53,22.41,3.8,,17.82,,
2,140,,0.5088,0.0038,0.089,,,,,
3,140,,1.67,0.541,0.668,,,,,
4,140,,2.469,2.227,2.119,,,,,
5,140,,2.73,7.951,5.703,,,,,
6,140,,2.94,6.76,9.84,,,4.18,,
7,140,,4.54,12.7,16.99,,,3.004,,
8,140,,2.65,10.946,20.017,,,4.321,,
9,140,,,7.56,13.18,0.32,,9.24,,
11,141,,,,63.27,9.44,0,,27.68,
10,141,,,22.9,58.08,0.488,,64.43,,
2,141,,0.6108,0.0125,0.1049,,,,,
3,141,,1.475,0.405,0.484,,,,,
4,141,,3.78,1.637,2.301,,,,,
5,141,,5.006,6.909,5.137,,,,,
6,141,,5.42,11.37,14.12,,,0.455,,
7,141,,8.384,26.13,22.98,,,1.347,,
9,141,,0,28.9,37.59,0.22,,30.6,,
11,142,,,0.21,57.28,4.25,,1.21,40.78,
1,142,,,,0.0709,,,,,
1,142,,0.3486,,,,,,,
10,142,,,27.44,47.34,1.39,,34.25,,
2,142,,1.469,0.0647,0.2305,,,,,
3,142,,2.3642,0.3041,0.7375,,,,,
4,142,,3.662,6.34,4.777,,,,,
5,142,,5.107,12.331,11.169,,,,,
6,142,,4.86,21.83,24.64,,,4.05,,
7,142,,13.185,35.74,36.7,,,11.011,,
8,142,,3.076,35.37,46.81,,,7.529,,
9,142,,,20.69,25.77,0.163,,9.185,,
11,143,,,11.72,76.88,1.197,.,2.772,,
10,143,,,64.22,84.28,0.566,,4.38,,
3,143,,1.12,0.088,0.373,,,,,
4,143,,3.379,1.476,1.798,,,,,
5,143,,4.502,7.154,6.139,,,,,
6,143,,6.499,7.97,6.9,,,,,
7,143,,5.754,36.669,23.64,,,19.11,,
8,143,,8.121,64.39,56.64,,,3.279,,
9,143,,,39.09,49.88,1.87,,3.3,,
11,144,,,15.04,43.17,1.79,,1.05,8.68,
1,144,,*,*,0.0333,,,,,
1,144,,0.1478,,,,,,,
10,144,,,13.64,45.56,0.333,,15.22,,
2,144,,0.4857,*,0.0967,,,,,
3,144,,1.418,0.057,0.415,,,,,
4,144,,2.439,0.696,0.959,,,,,
5,144,,5.62,3.771,3.836,,,,,
6,144,,4.131,20.15,16.63,,,0.462,,
7,144,,7,21,19.54,0,,0.55,,
9,144,,,,15.86,0,,1.485,,
11,145,,,0,26.69,10.12,24.05,,,
1,145,,0.103,,0.0152,,,,,
10,145,,,22.96,30.05,0.433,,26.12,,
2,145,,0.3885,,0.0619,,,,,
3,145,,1.162,0.088,0.294,,,,,
4,145,,1.619,0.578,0.73,,,,,
5,145,,3.916,4.236,4.221,,,,,
6,145,,3.32,13.17,13.21,,,0.918,,
7,145,,4.456,9.94,13.15,,,4.041,,
8,145,,4.699,10.62,20.87,,,2.974,,
9,145,,,17.78,28.06,,,21.821,,
10,146,,,29.2,35.16,0.41,,14.46,,
9,146,,,14.57,18.26,0,,1.79,,
11,147,,,3.17,29.23,1.578,0,4.95,,
10,147,,,32.97,56.77,0.07,,16.415,,
7,147,,5.512,22.36,21.51,,,5.165,,
8,147,,3.66,27.13,31.83,,,3.569,,
9,147,,,15.89,18.52,0.24,,5.75,,
11,148,,,5.09,57.02,1.64,0.781,,61.16,
1,148,,0.1526,,,,,,,
1,148,,,,0.0251,,,,,
10,148,,,13.75,18.92,0.782,,23.168,,
2,148,,0.6921,0.0148,0.1066,,,,,
3,148,,1.5,0.234,0.378,,,,,
4,148,,2.642,1.549,1.668,,,,,
5,148,,3.859,10.981,6.942,,,,,
6,148,,2.668,13.56,10.7,,,0.493,,
7,148,,3.354,27.42,26.795,,,9.806,,
8,148,,3.456,34.4,40.32,,,20.659,,
9,148,,0,18.72,24.86,0.46,,19.93,,
11,149,,,23.717,41.12,9.357,1.037,,19.022,
10,149,,,36.76,43.48,0.104,,13.275,,
3,149,,2.288,0.518,0.725,,,,,
4,149,,3.352,3.407,2.102,,,,,
5,149,,4.962,15.229,8.566,,,0.318,,
6,149,,6.398,17.98,13.42,,,0.158,,
7,149,,4.389,22.18,21.03,,,10.778,,
8,149,,3.824,37.19,39,,,10.534,,
9,149,,,17.01,21.46,.,,4.845,,
11,150,,,6.55,31.84,,,,12.672,
1,150,,0.0531,*,*,,,,,
1,150,,,,0.0147,,,,,
10,150,,,34.1,51.18,0.671,,11.592,,
2,150,,0.5432,0.0042,0.0783,,,,,
3,150,,0.925,0.379,0.345,,,,,
4,150,,2.793,1.003,1.326,.,,.,,
5,150,,7.153,7.53,6.195,,,,,
6,150,,7.032,10.97,10.85,,,0.278,,
7,150,,7.154,21.38,17.95,,,1.518,,
8,150,,5.77,16.29,24.81,,,9.001,,
9,150,,,22.72,35.94,0.231,,8.375,,
11,151,,,.,39.26,0.916,,,26.451,
1,151,,0.2363,*,0.0273,,,,,
10,151,,,31.45,57.5,1.856,,22.529,,
2,151,,0.7473,0.0341,0.1418,,,,,
3,151,,1.937,0.242,0.621,,,,,
4,151,,2.719,2.634,2.612,,,,,
5,151,,4.228,10.511,5.417,,,0.129,,
6,151,,3.401,16.06,10.73,,,0.355,,
7,151,,6.327,21.7,18.28,,,2.162,,
8,151,,2.159,6.38,7.05,,,4.905,,
9,151,,,31.84,62.02,0.821,,18.063,,
11,152,,,8.201,29.71,3.931,2.551,,54.08,
1,152,,0.1838,*,0.028,,,,,
10,152,,,9.49,20,1.298,,30.43,,
2,152,,0.9482,*,0.161,,,,,
3,152,,2.437,0.263,0.658,,,,,
4,152,,4.782,2.313,2.722,.,,.,,
5,152,,5.028,10.163,8.1,,,,,
6,152,,8.03,11.48,14.94,,,15.54,,
7,152,,10.27,17.987,21.929,,,7.63,,
8,152,,5.634,16.173,25.785,,,37.762,,
9,152,,.,19.06,34.954,0.6768,,34.704,,
9,152,,,,,,,34.98,,
9,152,19.06,,,34.954,0.6768,,34.705,,
11,153,,,12.83,69.88,0.289,0.24,,47.4,
1,153,,,,0.0162,,,,,
1,153,,0.0786,,,,,,,
10,153,,,34.71,48.84,0.355,,21.85,,
3,153,,0.423,0.25,0.201,,,,,
4,153,,4.35,2.18,2.64,.,,.,,
5,153,,4.603,7.327,3.922,,,,,
6,153,,4.43,14.65,12.93,,,,,
7,153,,8.542,59.34,36.77,,,7.829,,
8,153,,5.901,16.83,29.91,,,10.244,,
9,153,,0,22.29,36.2,0.13,,33.41,,
11,154,,,1.81,23.24,0.414,0.004,,19.151,
1,154,,0.09,,0.0321,,,,,
10,154,,,15.24,44.83,0.45,,29.22,,
2,154,,0.8591,0.0413,0.1621,,,,,
3,154,,1.136,0.356,0.345,,,,,
4,154,,2.636,1.843,1.716,,,,,
5,154,,2.293,10.795,6.436,,,0.747,,
6,154,,4.19,9.41,9.25,,,,,
7,154,,3.6,24.238,22.094,,,3.98,,
8,154,,2.554,18.58,18.88,,,4.153,,
9,154,,,21.56,33.65,0.994,,18.62,,
11,155,,,0,16.3,0.049,,,0.534,
1,155,,0.1526,,0.0124,,,,,
10,155,,,3.95,8.29,0,,0,,
2,155,,0.5288,0.0228,0.0746,,,,,
3,155,,1.315,0.135,0.29,,,,,
4,155,,3.72,2.73,2.28,.,,.,,
5,155,,3.025,6.655,4.229,,,,,
8,155,,2.799,8.34,8.51,,,1.904,,
11,156,,,21.004,52.96,0.205,0,,35.524,
1,156,,0.0971,*,0.0125,,,,,
10,156,,,29.19,35.35,0.091,,33.158,,
2,156,,0.5298,,0.0385,,,,,
3,156,,1.277,0.104,0.27,,,,,
4,156,,3.484,1.895,1.477,,,,,
5,156,,6.533,10.084,6.09,,,,,
6,156,,9.22,16.67,14.34,,,0.332,,
8,156,,12.529,31.675,29.22,,,9.759,,
9,156,,,41.89,51.32,0.821,,30.797,,
10,157,,,51.89,83.44,2.161,,23.867,,
5,157,,4.49,5.921,4.317,,,,,
6,157,,5.722,7.48,13.75,,,0.162,,
7,157,,9.487,27.942,21.241,,,1.946,,
9,157,,0,19.13,27.1,0.14,,6.06,,
10,158,,,37.51,32.26,0.22,,4.6,,
6,158,,8.76,26.58,20.05,,,0.264,,
8,158,,3.235,29.595,30.18,,,1.596,,
9,158,,0,21.24,25.94,0.08,,0.21,,
11,159,,,2.48,71.07,7.07,,,36.98,
1,159,,0.3396,,0.066,,,,,
10,159,,,38.79,68.39,0.14,,25.056,,
2,159,,2.1693,0.1647,0.4524,,,,,
3,159,,3.233,1.152,1.536,,,,,
4,159,,3.976,6.101,4.833,,,,,
5,159,,3.162,26.223,18.409,,,,,
6,159,,6.23,22.53,25.01,,,0.357,,
7,159,,4.87,35.9,27.27,0,,6.72,,
8,159,,2.92,44.54,43.71,,,19.72,,
9,159,,,22.2,32.84,0.12,,9.11,,
9,159,,,24.41,28.94,0.1,,43.36,,
11,160,,,6.5,39.46,1.16,0.899,43.399,,
10,160,,,31.76,47.44,0.438,,41.25,,
8,160,,5.225,34.28,40.5,,,7.61,,
9,160,,,39.01,47.33,0.629,,6.562,,
11,161,,,,31.68,3.791,,,51.14,
1,161,,0.1801,,,,,,,
1,161,,,,0.0316,,,,,
10,161,,,44.35,63.97,0.368,,40.73,,
2,161,,1.0719,0.0069,0.1484,,,,,
3,161,,1.741,1.402,0.831,,,,,
4,161,,2.956,5.33,3.235,,,,,
5,161,,5.175,11.351,8.762,,,,,
6,161,,5.984,20.02,16.22,,,0.885,,
7,161,,12.05,43.42,34.11,0,,3.37,,
8,161,,5.639,35.3,43.65,,,14.291,,
9,161,,,30.67,46.72,0,,37.797,,
11,162,,,3.66,63.43,4.28,0,4.11,,
1,162,,0.1284,*,0.0205,,,,,
2,162,,0.4256,*,0.0784,,,,,
3,162,,1.332,0.157,0.389,,,,,
4,162,,4.26,3.28,2.67,.,,.,,
5,162,,6.115,6.519,5.904,,,,,
6,162,,5.671,21.85,9.98,,,0.221,,
7,162,,4.315,42.13,22.69,0,,1.337,,
8,162,,5.269,36.965,22.621,,,4.753,,
9,162,,,45.99,64.06,1.46,,44.09,,
11,163,,,1.64,23.271,1.756,,,73.9,
1,163,,0.3892,*,0.0627,,,,,
10,163,,,8.02,38.67,2.591,,54.82,,
2,163,,1.4854,0.0597,0.3279,,,,,
3,163,,2.129,0.514,0.973,,,,,
4,163,,3.9,6.13,5.16,.,,.,,
5,163,,2.855,22.375,17.343,,,4.702,,
6,163,,4.001,16.37,21.92,,,9.47,,
7,163,,5.027,28.43,34.05,,,34.894,,
8,163,,2.102,11.14,15.76,,,40.17,,
9,163,,,23.33,47.96,6.391,,82.36,,
11,164,,,1.402,24.594,8.798,,,55.08,
1,164,,0.2013,*,0.0368,,,,,
2,164,,0.7227,*,0.1731,,,,,
3,164,,1.663,0.197,0.647,,,,,
4,164,,4.225,2.456,3.041,.,,.,,
5,164,,6.484,12.114,10.029,,,0.287,,
6,164,,4.35,12.59,20.06,,,11.068,,
7,164,,7.148,15.31,16.05,,,8.794,,
8,164,,4.44,7.93,18.05,,,19.821,,
9,164,,,14.88,23.55,0.17,,7.24,,
1,165,,0.2356,*,*,,,,,
1,165,,,,0.0439,,,,,
10,165,,,16.63,39.34,4.191,,64.67,,
2,165,,1.2013,0.021,0.2172,,,,,
3,165,,2.828,0.3,0.761,,,,,
5,165,,8.396,11.221,11.325,,,,,
6,165,,9.076,17.07,18.68,,,1.264,,
7,165,,7.802,33.96,37.16,,,5.39,,
8,165,,12.46,17.52,28.64,,,33.82,,
9,165,,,15.45,22.53,0.395,,34.867,,
11,166,,,4.21,67.08,1.951,,,35.532,
10,166,,,22.27,64.79,1.55,,63.98,,
4,166,,4.47,1.87,2.46,.,,.,,
5,166,,4.98,17.171,11.711,,,,,
6,166,,4.79,22.67,19.58,,,0.462,,
8,166,,3.211,36.43,41.05,,,14.461,,
9,166,,,22.25,26.3,,,8.691,,
11,167,,,0.541,26.567,12.798,0.032,,6.252,
1,167,,0.1861,,0.027,,,,,
10,167,,,7.9,38.3,4.73,,25.36,,
2,167,,0.5421,0.0219,0.0871,,,,,
3,167,,1.558,0.468,0.514,,,,,
4,167,,3.169,2.689,2.366,,,,,
5,167,,4.452,7.418,6.585,,,,,
6,167,,5.582,13.06,14.81,,,,1.148,
7,167,,1.8,28.09,31.87,,,7.965,,
8,167,,4.084,18.144,22.9,,,8.274,,
9,167,,,14.05,29.43,2.312,,12.933,,
10,168,,,17.95,38.84,1.943,,46.457,,
5,168,,,23.08,18.28,,,,,
7,168,,9.715,9.73,7.95,,,0.262,,
8,168,,6.999,18.734,21.123,,,7.492,,
9,168,,0,0,33.7,1.16,,32.81,,
11,169,,,7.16,28.58,2.51,0.17,,34.24,
1,169,,0.098,,0.0175,,,,,
10,169,,,30.11,26.93,2.37,,28.81,,
2,169,,0.6289,*,0.0717,,,,,
3,169,,1.359,0.299,0.391,,,,,
4,169,,2.7,2.995,2.115,,,,,
5,169,,6.236,12.071,9.361,,,,,
6,169,,5.07,10.85,11.8,,,1.573,,
7,169,,4.038,19.33,19.64,,,13.449,,
8,169,,0.88,22.62,34.07,,,41.26,,
9,169,,,22.46,30.06,4.26,,30.95,,
11,170,,,0.12,32.12,11.26,,0,16.08,
1,170,,0.1588,*,*,,,,,
1,170,,,,0.0271,,,,,
10,170,,,21.79,39.25,0.199,,48.66,,
2,170,,0.3689,0.0109,0.0762,,,,,
3,170,,0.85,0.297,0.311,,,,,
4,170,,2.08,1.75,1.57,.,,.,,
5,170,,2.896,9.342,6.321,,,,,
6,170,,3.85,11.59,9.95,,,4.15,,
7,170,,6.02,19.85,17.7,,,3.439,,
8,170,,3.892,28.543,36.109,,,11.728,,
9,170,,,26.05,36.66,0.05,,42.51,,
11,171,,,,9.43,2.251,,19.548,,
10,171,,,9.72,13.43,0.505,,17.225,,
7,171,,3.553,14.29,14.08,,,4.761,,
8,171,,6.19,13.01,13.69,,,3.87,,
11,172,,,0.941,52.25,0.994,0,13.83,,
1,172,,0.1806,*,0.0316,,,,,
10,172,,,18.94,30.66,0.247,,3.845,,
2,172,,0.844,,0.1764,,,,,
3,172,,2.074,0.276,0.72,,,,,
4,172,,4.71,3.29,3.72,.,,.,,
5,172,,1.868,11.213,6.025,,,,,
6,172,,3.54,23.32,25.37,,,0.846,,
7,172,,3.653,22.5,21.22,,,3.116,,
8,172,,1.814,42.32,52.7,,,7.388,,
9,172,,0,32.04,55.99,1.3,,6.75,,
11,173,,,,17.94,1.789,,,35.335,
1,173,,0.2244,,,,,,,
1,173,,,,0.0241,,,,,
2,173,,0.3537,,0.0623,,,,,
3,173,,0.934,0.221,0.332,,,,,
4,173,,3.162,2.317,2.677,,,,,
5,173,,3.284,4.146,3.687,,,,,
6,173,,5.03,9.56,14.06,,,0.729,,
7,173,,4.185,5.95,12.18,,,0.58,,
8,173,,3.276,10.1,19.93,,,14.691,,
11,174,,,8.013,28.011,3.599,0.864,,0.715,
1,174,,*,*,0.0068,,,,,
1,174,,0.0697,,,,,,,
10,174,,,11.19,34.93,2.12,,5.96,,
2,174,,0.4536,*,0.09,,,,,
3,174,,1.249,0.308,0.37,,,,,
4,174,,2.257,2.94,1.605,.,,.,,
5,174,,4.062,6.599,6.989,,,,,
6,174,,3.25,7.31,11.64,,,8.734,,
7,174,,1.885,19.71,24.22,,,6.442,,
8,174,,1.121,13.67,27.63,,,10.166,,
9,174,,,9.97,22.77,1.48,,10.11,,
1,175,,0.163,,,,,,,
1,175,,,,0.0222,,,,,
10,175,,,4.12,6.9,0,,2.97,,
10,175,,,21.61,18.45,0.654,,8.107,,
2,175,,0.8551,*,NA,,,,,
3,175,,1.591,0.124,0.32,,,,,
4,175,,3.74,1.92,1.73,.,,.,,
5,175,,4.133,5.249,3.641,,,,,
6,175,,7.751,18.91,14.43,,,.,,
7,175,,5.524,26.471,22.375,,,6.005,,
8,175,,4.994,23.459,22.326,,,1.624,,
9,175,,,17.13,37.22,0.13,,17.65,,
11,176,,,1.83,53.94,4.28,0.33,,26.54,
1,176,,,,0.0415,,,,,
1,176,,0.2369,,,,,,,
10,176,,,28.19,67.04,3.44,,42.08,,
2,176,,0.8428,0.0205,0.1601,,,,,
3,176,,2.198,0.717,0.723,,,,,
4,176,,3.886,4.169,3.255,,,,,
5,176,,2.762,13.685,8.796,,,,,
6,176,,3.3,16.92,17.33,,,7.55,,
7,176,,6.33,20.68,29.14,,,11.772,,
8,176,,2.451,22.73,33.75,,,14.169,,
9,176,,0,19.08,34.81,0.83,,11.21,,
11,177,,,1.4,44.4,,,0.09,27.34,
1,177,,0.177,*,0.0306,,,,,
10,177,,,17.72,40.16,1.138,.,15.334,,
2,177,,0.3392,*,0.0511,,,,,
3,177,,2.157,0.269,0.71,,,,,
4,177,,3.32,1.37,1.84,.,,.,,
5,177,,3.675,10.047,7.158,,,,,
6,177,,6.845,13.955,14.526,,,0.742,,
7,177,,3.658,18.5,19.86,,,2.607,,
8,177,,3.068,17.992,32.928,,,11.478,,
9,177,,0,22.04,35.15,2.117,,7.312,,
11,178,,,0.16,14.95,0.36,,0.055,20.664,
1,178,,0.152,,0.0292,,,,,
10,178,,,23.32,47.18,0.7,,15.165,,
2,178,,0.5202,*,0.0931,,,,,
3,178,,1.286,0.116,0.462,,,,,
4,178,,3.456,2.046,2.586,,,,,
5,178,,3.064,4.625,4.627,,,,,
6,178,,5.11,11.55,16.04,,,8.15,,
7,178,,4.55,27.03,27.35,0,,4.77,,
8,178,,3.617,16.407,18.833,,,29.09,,
9,178,,,26.44,41.77,0.249,,1.17,,
11,179,,,4.94,29.81,1.896,1.031,,31.825,
1,179,,0.2359,,,,,,,
1,179,,,,0.0364,,,,,
10,179,,,19.83,25.61,6.288,,64.03,,
2,179,,1.1352,0.1078,0.2055,,,,,
3,179,,2.141,0.779,0.687,,,,,
4,179,,4.841,3.197,3.554,.,,.,,
5,179,,7.508,12.471,12.524,,,0.375,,
6,179,,8.22,16.94,19.03,,,2.277,,
7,179,,6.14,18.92,19.58,0,,20.02,,
8,179,,2.552,38.81,39.23,,,81.51,,
9,179,,,17.51,21.04,1.414,,61.13,,
11,180,,,11.031,44.83,2.35,,,27.14,
1,180,,0.1923,*,0.0197,,,,,
10,180,,,8.47,21.99,12.11,,70.98,,
2,180,,1.0198,0.0483,0.2548,,,,,
3,180,,2.054,0.723,0.865,,,,,
4,180,,3.631,3.151,2.916,,,,,
5,180,,4.687,12.406,12.885,,,,,
6,180,,5.491,14.98,23.2,,,1.676,,
7,180,,5.648,24.87,38.01,,,18.28,,
8,180,,4.227,14.214,28.912,,,25.005,,
9,180,,,11.97,25.6,1.55,,38.05,,
11,181,,,13,53.22,1.7,,0,15.51,
1,181,,,,0.0397,,,,,
1,181,,0.2332,,,,,,,
10,181,,,10.75,28.8,2.02,,17.873,,
2,181,,1.095,0.0303,0.1804,,,,,
3,181,,2.646,0.519,0.904,,,,,
4,181,,4.989,1.592,1.867,,,,,
5,181,,5.45,9.97,9.381,,,,,
6,181,,2.649,16.55,17.03,,,1.139,,
7,181,,3.148,21.03,22.22,,,5.942,,
8,181,,1.877,9.97,10.42,,,6.157,,
9,181,,.,33.24,46.89,7.406,,24.193,,
9,181,33.24,,,46.89,7.406,,24.193,,
1,182,,,,0.0567,,,,,
1,182,,0.2914,,,,,,,
10,182,,,11.45,32.85,7.99,,57.13,,
2,182,,0.5983,0.0082,0.1219,,,,,
3,182,,2.373,0.39,0.933,,,,,
4,182,,3.134,2.569,2.671,.,,.,,
5,182,,5.359,5.498,6.321,,,,,
6,182,,5.912,4.01,8.63,,,0.233,,
7,182,,5.267,14.77,26.56,,,14.792,,
9,182,,,15.82,31.48,6.85,,65.64,,
1,183,,,,0.0188,,,,,
1,183,,0.1387,,,,,,,
2,183,,0.5706,*,0.1026,,,,,
4,183,,2.244,2.566,3.804,,,,,
5,183,,7.632,8.43,8.506,,,,,
6,183,,6.516,12.01,11.51,,,0.235,,
7,183,,5.772,14.21,13.63,,,1.37,,
8,183,,1.841,19.123,22.067,,,2.254,,
9,183,,,27.85,44.32,0.055,,15.235,,
11,184,,,0.831,18.73,,,51.37,,
1,184,,0.812,,,,,,,
1,184,,,,0.0324,,,,,
10,184,,,22.47,35.44,0.505,,30.916,,
2,184,,1.0441,0.0772,0.201,,,,,
3,184,,2.94,0.647,0.953,,,,,
4,184,,3.17,5.76,4.02,.,,.,,
5,184,,5.086,16.171,11.695,,,,,
6,184,,4.984,16.65,9.61,,,1.322,,
7,184,,5.261,19.63,22.94,,,4.888,,
8,184,,3.585,26.67,32.32,,,12.868,,
11,185,,,0.958,20.073,0.787,,,101.28,
1,185,,,*,0.0698,,,,,
1,185,,0.3853,,,,,,,
10,185,,,9.34,14.46,0.35,,18.63,,
2,185,,1.7882,0.137,0.3463,,,,,
3,185,,1.198,3.355,1.493,,,,,
4,185,,4.908,5.552,4.523,.,,.,,
5,185,,6.228,18.133,14.555,,,0.779,,
6,185,,2.32,21.81,23.569,,,4.451,,
7,185,,3.802,22.28,19.76,,,16.141,,
8,185,,5.52,51.13,56.44,,,86.46,,
9,185,,,20.56,25.49,2.401,,93.14,,
11,186,,,0.786,28.296,4.937,0.985,,9.691,
1,186,,0.1318,*,0.0236,,,,,
10,186,,,5.92,22.33,1.5,,1062,,
2,186,,0.1889,*,0.0438,,,,,
3,186,,1.2,0.046,0.311,,,,,
4,186,,2.254,0.507,0.979,,,,,
5,186,,2.809,9.019,6.171,,,,,
6,186,,7.732,6.65,8.09,,,0.566,,
7,186,,1.12,16.8,16.63,0,,3.28,,
8,186,,3.629,21.047,21.382,,,4.253,,
9,186,,0,24.51,34.15,0.8,,8.66,,
11,187,,,8.71,59.32,3.73,0,,15.26,
1,187,,,,0.1919,,,,,
1,187,,0.18,,,,,,,
10,187,,,25.91,49.42,0.403,,14.681,,
2,187,,0.9183,*,0.1628,,,,,
3,187,,0.654,0.056,0.208,,,,,
4,187,,3.447,4.188,3.197,.,,.,,
5,187,,3.935,13.343,6.146,,,0.055,,
6,187,,2.979,19.21,19.31,,,0.656,,
7,187,,4.667,38.12,39.62,,,6.511,,
8,187,,3.83,17.239,26.44,,,6.9,,
9,187,,,23.67,35.37,0.85,,13.35,,
1,188,,0.19,*,0.0379,,,,,
10,188,,,19.95,39.09,0.297,,14.75,,
2,188,,0.7468,0.077,0.1352,,,,,
3,188,,0.802,0.339,0.352,,,,,
4,188,,3.02,2.846,2.562,,,,,
5,188,,3.063,18.216,12.491,,,,,
6,188,,3.653,15.74,15.92,,,,0.487,
7,188,,2.63,27.51,24.08,0,,2.61,,
8,188,,4.06,25.697,32.159,,,12.428,,
1,189,,0.009,*,*,,,,,
1,189,,,,0.0202,,,,,
10,189,,,20.27,48.63,0.35,,22.18,,
2,189,,0.9045,0.0297,0.1675,,,,,
3,189,,1.426,0.485,0.503,,,,,
4,189,,2.403,1.1,1.261,,,,,
5,189,,2.358,13.592,8.642,,,,,
6,189,,3.774,16.062,16.218,,,,,
7,189,,2.998,21.33,26.9,,,4.495,,
8,189,,2.921,28.01,35.22,,,27.452,,
9,189,,,33.21,61.99,2.595,,76.47,,
11,190,,,7.705,31.413,3.664,0,,38.4,
10,190,,,16.02,31.51,6.007,,42.4,,
2,190,,0.9553,0.0248,0.2114,,,,,
3,190,,2.158,0.438,0.763,,,,,
4,190,,3.18,1.81,1.99,.,,.,,
5,190,,4.546,9.086,7.434,,,,,
6,190,,6.823,10.1,14.86,,,1.101,,
7,190,,6.31,25.4,19.28,,,4.726,,
8,190,,5.808,17.72,28.45,,,15.545,,
9,190,,,22.1,33.52,3.39,,51.08,,
11,191,,,.,32.03,2.732,0,19.64,,
1,191,,0.1741,,,,,,,
1,191,,,,0.0261,,,,,
10,191,,,13.62,21.39,0.575,,20.217,,
2,191,,0.5836,*,0.0744,,,,,
3,191,,2.433,0.278,0.604,,,,,
4,191,,2.057,0.79,0.805,,,,,
5,191,,4.931,10.928,5.446,,,,,
6,191,,5.301,11.96,9.76,,,,,
7,191,,7.367,25.49,14.34,,,1.606,,
9,191,,,22.11,29.1,0.02,,26.31,,
11,192,,,2.986,51.49,5.227,,,38.427,
1,192,,0.1395,*,*,,,,,
1,192,,,,0.0314,,,,,
10,192,,,16.48,39.95,7.158,,40.45,,
2,192,,0.5949,0.0097,0.12,,,,,
3,192,,1.864,0.88,0.691,,,,,
4,192,,3.457,1.919,2.014,,,,,
5,192,,2.718,7.292,3.764,,,,,
6,192,,3.078,12.12,8.49,,,1.752,,
7,192,,5.645,21.57,21.78,,,2.978,,
9,192,,,28.31,39.31,0.283,,0.768,,
11,193,,,5.756,18.024,1.491,,,50.99,
1,193,,0.651,,0.0856,,,,,
10,193,,,24.31,23.03,3.287,,39.98,,
2,193,,0.9896,0.0111,0.1475,,,,,
3,193,,2.126,0.351,0.666,,,,,
4,193,,2.955,0.335,1.164,.,,.,,
5,193,,7.309,8.692,7.823,,,,,
6,193,,10.127,14.89,16.26,,,1.773,,
7,193,,9.09,16.28,19.57,,,8.15,,
9,193,,0,25.31,33.66,1.14,,61.56,,
11,194,,,0,32.19,6.59,,0,6.46,
10,194,,,37.48,75.64,0.468,,79.82,,
9,194,,0,30.04,40.95,0.4,,12.31,,
1,195,,0.2762,,0.0401,,,,,
10,195,,,24.1,53.44,0.604,,38.214,,
2,195,,0.7006,0.0245,0.1498,,,,,
3,195,,2.043,0.564,0.701,,,,,
4,195,,3.957,2.604,2.502,,,,,
5,195,,4.227,7.923,5.691,,,,,
6,195,,6.517,13.66,13.6,,,1.172,,
7,195,,2.54,29.13,22.27,,,1.446,,
8,195,,6.834,30.69,43.24,,,11.737,,
9,195,,,23.83,37.62,1.2,,28.01,,
11,196,,,7.26,31.14,0,0.256,,65.39,
1,196,,0.2959,*,0.0487,,,,,
10,196,,,25.88,36.76,0.781,,72.6,,
2,196,,0.992,0.034,0.1891,,,,,
3,196,,1.7,0.406,0.482,,,,,
4,196,,3.196,1.545,1.903,.,,.,,
5,196,,4.543,8.979,7.912,,,,,
6,196,,6.51,15.72,18.6,,,0.302,,
7,196,,7.522,26.01,22.39,,,5.844,,
8,196,,6.512,40.92,53.82,,,53.22,,
9,196,,,15.19,27.52,0.894,,17.486,,
9,196,,,29.23,34.99,0.3448,,60.42,,
11,197,,,5.25,28.83,0.5,11.98,,39.61,
1,197,,0.1767,*,0.0339,,,,,
10,197,,,29.98,32.31,1.079,,10.198,,
2,197,,0.4514,0.0415,0.0835,,,,,
3,197,,2.005,1.758,1.273,,,,,
4,197,,2.335,5.159,3.51,.,,.,,
5,197,,1.652,6.782,4.567,,,,,
6,197,,4.815,9.2,9.21,,,0.776,,
7,197,,4.089,26.41,25.29,,,9.773,,
9,197,,,24.82,31.59,0.2,,43.06,,
11,198,,,1.32,31.68,1.914,6.58,,38.3,
1,198,,0.1904,*,0.0323,,,,,
10,198,,,21.21,30.76,0.048,,46.81,,
2,198,,0.6092,0.0998,0.1703,,,,,
3,198,,1.66,1.4,0.82,,,,,
4,198,,4.302,6.307,4.983,,,,,
5,198,,9.492,11.101,2.921,,,,,
6,198,,6.377,21.2,21.22,,,1.931,,
7,198,,4.994,27.69,33.26,,,12.435,,
8,198,,2.662,34.941,37.831,,,31.947,,
9,198,,,28.95,30.46,0.346,,56.93,,
11,199,,,10.97,80.29,4.487,0.362,,35.589,
1,199,,0.1422,*,0.0279,,,,,
10,199,,,5.43,7.23,0.032,,7.01,,
