site,Plot ID,Plot ID_input,Plant ID,Plant No. in plot,Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",PIT1,PIT2,PIT3,Planting Date,T1 Date,T2Date,T3Date,T1 (DAP),T2(DAP),T3(DAP)
1,25,,P3,,2,6,1,3,3.8,1.1,4,4.3,1.5,2.48861,3.33775,4.51495,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,26,26,P1,,2,4.4,1.2,3,4.4,1.4,4,3.5,1,2.43510,3.49367,4.26858,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,26,,P2,,2,5.6,1,3,3,0.9,3,10.6,1.5,2.46813,3.15143,3.73876,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,26,,P3,,2,2.8,0.8,2,10.6,2.2,3,7.8,2.3,2.09046,2.91870,3.93172,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,27,27,P1,,3,3.2,1.4,4,4.8,1.1,5,2.7,0.8,3.29862,4.44276,5.06327,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,27,,P2,,4,3,1.2,5,3,0.9,6,5.3,1.3,4.19898,5.15143,6.53469,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,27,,P3,,3,4,1.8,4,2.8,1.5,5,3.8,1.1,3.58860,4.18157,5.33775,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,28,28,P1,,3,5.9,1.8,4,8,2,5,2.9,0.8,3.72329,4.83904,5.11525,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,28,,P2,,2,4.2,2,3,6.1,1.8,4,5.5,2,2.69924,3.73085,4.77942,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,28,,P3,,2,3,1,3,2.6,0.4,3,6.3,2.1,2.16596,3.02095,3.84130,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,29,29,P1,,2,5,1.1,2,5.5,1.5,3,5.3,1.4,2.45779,2.60684,3.56445,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,29,,P2,,2,5.5,2.4,2,8.6,1.6,3,5.8,1.9,2.95077,2.73463,3.75409,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,29,,P3,,2,4.3,0.6,3,3,0.4,3,7.9,0.3,2.27537,3.09049,3.35177,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,30,30,P1,,3,3.5,1.3,4,4,1.4,5,4.6,1.5,3.33973,4.44770,5.54415,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,30,,P2,,2,3.8,0.7,3,2.7,0.7,3,7.6,2.3,2.24751,3.05701,3.93024,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,30,,P3,,2,8,2,4,3.4,1.2,5,3.6,1.1,2.83904,4.29525,5.30755,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,31,31,P1,,,,,,,,,,,,,,,,,,,,
1,31,,P2,,,,,,,,,,,,,,,,,,,,
1,31,,P3,,,,,,,,,,,,,,,,,,,,
1,32,32,P1,,2,5,0.8,3,2.6,1.1,3,8.9,1.5,2.37824,3.04559,3.71311,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,32,,P2,,2,4.5,0.8,2,13.4,1.8,3,7.3,1.2,2.34031,2.83636,3.59349,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,32,,P3,,2,4,0.8,3,2.9,1,3,11.1,1.6,2.29203,3.13940,3.76959,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,33,33,P1,,,,,,,,,,,,,,,,4/14/2016,,,,
1,33,,P2,,,,,,,,,,,,,,,,4/14/2016,,,,
1,33,,P3,,,,,,,,,,,,,,,,4/14/2016,,,,
1,34,34,P1,,2,9.3,2.4,3,11,2.1,4,6.8,1.3,2.96986,3.89471,4.60477,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,34,,P2,,3,3,1,4,3.2,1,5,2.9,0.9,3.16596,4.21223,5.12685,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,34,,P3,,2,6,0.7,3,4.5,1.1,4,3,0.6,2.40749,3.41723,4.11328,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,35,35,P1,,,,,,,,,,,,,,,,4/14/2016,,,,
1,35,,P2,,,,,,,,,,,,,,,,4/14/2016,,,,
1,35,,P3,,,,,,,,,,,,,,,,4/14/2016,,,,
1,36,36,P1,,,,,,,,,,,,,,,,4/14/2016,,,,
1,36,,P2,,,,,,,,,,,,,,,,4/14/2016,,,,
1,36,,P3,,,,,,,,,,,,,,,,4/14/2016,,,,
1,37,37,P1,,2,4.6,1.2,3,2.8,1.1,3,7.9,2,2.45378,3.12130,3.83756,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,37,,P2,,2,5.6,0.9,3,3.7,1,4,3.7,0.8,2.44115,3.29965,4.25599,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,37,,P3,,2,6.4,0.9,3,4,1.2,4,4.1,0.7,2.47919,3.39038,4.27986,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,38,38,P1,,3,3.9,1.9,4,5.2,1.7,5,6.5,2.4,3.61837,4.65505,5.95903,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,38,,P2,,3,3.1,1.2,4,4.2,1.4,5,4.9,1.6,3.22665,4.47223,5.60126,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,38,,P3,,3,3.2,1.4,4,3.9,1.2,5,4.5,1.3,3.29862,4.37728,5.47337,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,39,39,P1,,2,5.2,0.8,3,3.9,1.6,4,6,1.8,2.39126,3.49910,4.72715,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,39,,P2,,2,5.4,1,3,3,1,3,8.4,2.3,2.45666,3.16596,3.93563,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,39,,P3,,2,7,1.4,3,4.7,1.5,4,5.3,2.4,2.63974,3.55273,4.94847,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,40,40,P1,,3,3.3,0.8,3,3.5,1.2,4,4,1.3,3.19592,3.31433,4.41818,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,40,,P2,,2,7,1.7,3,5.5,1.8,4,5,0.9,2.72750,3.70589,4.40421,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,40,,P3,,2,7.7,2.1,3,6.8,2.1,4,6.5,1.5,2.86581,3.85161,4.65163,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,41,41,P1,,,,,,,,,,,,,,,,4/14/2016,,,,
1,41,,P2,,,,,,,,,,,,,,,,4/14/2016,,,,
1,41,,P3,,,,,,,,,,,,,,,,4/14/2016,,,,
1,42,42,P1,,2,6.1,0.6,2,12.5,2.3,3,8.5,2.4,2.38463,2.95074,3.96772,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,42,,P2,,3,3.2,1,4,3,1.2,5,3.5,0.6,3.21223,4.19898,5.19079,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,42,,P3,,2,8.4,2.1,3,7.6,1.4,4,6,2.2,2.87423,3.65725,4.87259,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,43,43,P1,,2,8.8,1,3,2.7,0.6,3,8.9,1.4,2.57867,3.05117,3.68651,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,43,,P2,,1,3.9,1.9,2,6.7,1.1,3,3.3,0.7,1.61837,2.54562,3.17905,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,43,,P3,,2,4.3,1,2,13.3,2.3,3,7.6,1.9,2.37181,2.95249,3.80204,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,44,44,P1,,3,2.5,0.5,4,2.7,0.4,4,7.9,1.5,3.00000,4.04030,4.69253,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,44,,P2,,3,5.1,1.7,4,4.6,1.8,5,3.1,0.6,3.64895,4.64988,5.13099,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,44,,P3,,2,7.9,2.1,3,2.9,2,4,6.7,1.6,2.86841,3.39945,4.68837,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,45,45,P1,,3,5.5,1.8,3,5.5,2,4,6.3,1.9,3.70589,3.77942,4.77105,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
