"","plot","HNO","DWTOTALLEAF","DWMSL","DWBL","TOTALSTEM","DWAP","DWGP","DWPOD","DWMP","WHOLE","Dlines","category","site","pdate","hdate","DAP","geno"
"998","202",4,5.075,2.466,2.609,1.828,NA,NA,NA,NA,6.903,0,2,1,2016-03-24,2016-04-28,35,"RIJC223"
"999","202",5,9.409,2.296,7.113,4.364,NA,NA,NA,NA,13.773,0,2,1,2016-03-24,2016-05-05,42,"RIJC223"
"1000","202",7,24.415,5.155,19.26,21.58,NA,NA,4.639,NA,50.634,0,2,1,2016-03-24,2016-05-19,56,"RIJC223"
"1001","202",8,19.417,3.562,15.855,18.395,NA,NA,6.321,NA,44.133,0,2,1,2016-03-24,2016-05-26,63,"RIJC223"
"1002","202",9,20.55,NA,20.55,36.41,1.77,NA,17.52,NA,76.25,0,2,1,2016-03-24,2016-06-02,70,"RIJC223"
"1003","202",10,13.77,NA,13.77,21.44,0.141,NA,8.932,NA,44.283,0,2,1,2016-03-24,2016-06-09,77,"RIJC223"
"1004","202",11,1.5,NA,1.5,31.96,3.035,0,13.688,NA,50.183,0,2,1,2016-03-24,2016-07-14,112,"RIJC223"
"1005","203",1,0.0449,0.0449,NA,0.0255,NA,NA,NA,NA,0.0704,0,2,1,2016-03-24,2016-04-07,14,"RIJC361"
"1006","203",2,0.42375,0.42375,NA,0.1115,NA,NA,NA,NA,0.53525,0,2,1,2016-03-24,2016-04-14,21,"RIJC361"
"1007","203",3,2.2832,1.9112,0.372,0.634,NA,NA,NA,NA,2.9172,0,2,1,2016-03-24,2016-04-21,28,"RIJC361"
"1008","203",4,6.819,3.687,3.132,2.64,NA,NA,NA,NA,9.459,0,2,1,2016-03-24,2016-04-28,35,"RIJC361"
"1009","203",5,9.164,1.136,8.028,4.191,NA,NA,NA,NA,13.355,0,2,1,2016-03-24,2016-05-05,42,"RIJC361"
"1010","203",6,17.114,6.804,10.31,8.97,NA,NA,NA,NA,26.084,0,2,1,2016-03-24,2016-05-12,49,"RIJC361"
"1011","203",8,46.465,4.845,41.62,47.96,NA,NA,2.427,NA,96.852,0,2,1,2016-03-24,2016-05-26,63,"RIJC361"
"1012","203",9,23.66,0,23.66,28.12,0.16,NA,1.02,NA,52.96,0,2,1,2016-03-24,2016-06-02,70,"RIJC361"
"1013","203",10,4.32,NA,4.32,8.22,0,NA,0,NA,12.54,0,2,1,2016-03-24,2016-06-09,77,"RIJC361"
"1014","203",11,4.29,NA,4.29,40.89,0.047,0.04,NA,0.129,45.396,0,2,1,2016-03-24,2016-07-14,112,"RIJC361"
"1015","204",5,7.624,4.545,3.079,1.771,NA,NA,NA,NA,9.395,0,2,1,2016-03-24,2016-05-05,42,"RIJC355"
"1016","204",6,14.4295,5.724,8.7055,6.8015,NA,NA,0.234,NA,21.465,0,2,1,2016-03-24,2016-05-12,49,"RIJC355"
"1017","204",7,34.548,12.568,21.98,14.96,NA,NA,0.591,NA,50.099,0,2,1,2016-03-24,2016-05-19,56,"RIJC355"
"1018","204",8,32.819,16.425,16.394,15.941,NA,NA,10.07,NA,58.83,0,2,1,2016-03-24,2016-05-26,63,"RIJC355"
"1019","204",9,35.02,NA,35.02,24.52,0,NA,19.469,NA,79.009,0,2,1,2016-03-24,2016-06-02,70,"RIJC355"
"1020","204",10,23.05,NA,23.05,36.45,NA,NA,29.84,NA,89.34,0,2,1,2016-03-24,2016-06-09,77,"RIJC355"
"1021","204",11,0,NA,NA,33.57,14.61,1.11,NA,19.17,68.46,0,2,1,2016-03-24,2016-07-14,112,"RIJC355"
"1022","205",1,0.1934,0.1934,NA,0.0326,NA,NA,NA,NA,0.226,0,2,1,2016-03-24,2016-04-07,14,"JAM"
"1023","205",2,0.4776,0.4776,NA,0.0879,NA,NA,NA,NA,0.5655,0,2,1,2016-03-24,2016-04-14,21,"JAM"
"1024","205",4,3.377,2.927,0.45,1.157,NA,NA,NA,NA,4.534,0,2,1,2016-03-24,2016-04-28,35,"JAM"
"1025","205",5,16.833,8.038,8.795,7.043,NA,NA,NA,NA,23.876,0,2,1,2016-03-24,2016-05-05,42,"JAM"
"1026","205",6,21.98,21.98,NA,7.246,NA,NA,0.342,NA,29.568,0,2,1,2016-03-24,2016-05-12,49,"JAM"
"1027","205",7,16.307,7.957,8.35,14.25,NA,NA,4.908,NA,35.465,0,2,1,2016-03-24,2016-05-19,56,"JAM"
"1028","205",8,23.958,5.793,18.165,14.82,NA,NA,16.405,NA,55.183,0,2,1,2016-03-24,2016-05-26,63,"JAM"
"1029","205",9,12.07,0,12.07,13.12,0.16,NA,13.14,NA,38.49,0,2,1,2016-03-24,2016-06-02,70,"JAM"
"1030","205",10,11.94,NA,11.94,17.75,0.092,NA,57.91,NA,87.692,0,2,1,2016-03-24,2016-06-09,77,"JAM"
"1031","205",11,1.43,NA,1.43,22.45,2.17,NA,87.45,NA,113.5,0,2,1,2016-03-24,2016-07-13,111,"JAM"
"1032","206",9,32.69,NA,32.69,37.09,0.191,NA,21.895,NA,91.866,0,2,1,2016-03-24,2016-06-02,70,"RIJC019"
"1033","206",10,22.34,NA,22.34,40.38,0.126,NA,35.679,NA,98.525,0,2,1,2016-03-24,2016-06-09,77,"RIJC019"
"1034","206",11,10.34,NA,10.34,70.51,7.066,NA,0.65,NA,88.566,0,2,1,2016-03-24,2016-07-13,111,"RIJC019"
"1035","207",1,0.0795,0.0795,NA,0.0124,NA,NA,NA,NA,0.0919,0,2,1,2016-03-24,2016-04-07,14,"RIJC138"
"1036","207",2,0.423,0.423,NA,0.0707,NA,NA,NA,NA,0.4937,0,2,1,2016-03-24,2016-04-14,21,"RIJC138"
"1037","207",3,1.201,1.086,0.115,0.34,NA,NA,NA,NA,1.541,0,2,1,2016-03-24,2016-04-21,28,"RIJC138"
"1038","207",4,3.157,2.26,0.897,1.298,NA,NA,NA,NA,4.455,0,2,1,2016-03-24,2016-04-28,35,"RIJC138"
"1039","207",5,7.205,3.611,3.594,3.552,NA,NA,NA,NA,10.757,0,2,1,2016-03-24,2016-05-05,42,"RIJC138"
"1040","207",6,15.57,5,10.57,14.8,NA,NA,0.53,NA,30.9,0,2,1,2016-03-24,2016-05-12,49,"RIJC138"
"1041","207",7,34.09,4.49,29.6,33.3,NA,NA,3.883,NA,71.273,0,2,1,2016-03-24,2016-05-19,56,"RIJC138"
"1042","207",8,30.651,3.701,26.95,45.22,NA,NA,18.482,NA,94.353,0,2,1,2016-03-24,2016-05-26,63,"RIJC138"
"1043","207",9,14.77,NA,14.77,25.55,1.22,NA,23.51,NA,65.05,0,2,1,2016-03-24,2016-06-02,70,"RIJC138"
"1044","207",10,11.76,NA,11.76,30.94,0,NA,28.302,NA,71.002,0,2,1,2016-03-24,2016-06-09,77,"RIJC138"
"1045","207",11,0.06,NA,0.06,26.05,14.54,0,NA,32.54,73.19,0,2,1,2016-03-24,2016-07-13,111,"RIJC138"
"1046","208",1,0.1231,0.1231,NA,0.018,NA,NA,NA,NA,0.1411,0,2,1,2016-03-24,2016-04-07,14,"RIJC261"
"1047","208",3,1.516,1.448,0.068,0.39,NA,NA,NA,NA,1.906,0,2,1,2016-03-24,2016-04-21,28,"RIJC261"
"1048","208",4,4.042,2.916,1.126,1.305,NA,NA,NA,NA,5.347,0,2,1,2016-03-24,2016-04-28,35,"RIJC261"
"1049","208",5,10.562,4.051,6.511,4.421,NA,NA,NA,NA,14.983,0,2,1,2016-03-24,2016-05-05,42,"RIJC261"
"1050","208",6,19.482,2.202,17.28,13.24,NA,NA,0.336,NA,33.058,0,2,1,2016-03-24,2016-05-12,49,"RIJC261"
"1051","208",7,38.09,2.49,35.6,26.92,NA,NA,5.145,NA,70.155,0,2,1,2016-03-24,2016-05-19,56,"RIJC261"
"1052","208",8,15.838,1.588,14.25,25.51,NA,NA,13.121,NA,54.469,0,2,1,2016-03-24,2016-05-26,63,"RIJC261"
"1053","208",9,23.46,NA,23.46,34.8,1.169,NA,12.538,NA,71.967,0,2,1,2016-03-24,2016-06-02,70,"RIJC261"
"1054","208",10,12.84,NA,12.84,18.59,0.302,NA,30.403,NA,62.135,0,2,1,2016-03-24,2016-06-09,77,"RIJC261"
"1055","208",11,0.661,NA,0.661,31.36,1.664,NA,73.28,NA,106.965,0,2,1,2016-03-24,2016-07-14,112,"RIJC261"
"1056","209",1,0.1218,0.1218,NA,0.0187,NA,NA,NA,NA,0.1405,0,2,1,2016-03-24,2016-04-07,14,"RIJC017"
"1057","209",2,0.5025,0.4739,0.0286,0.0795,NA,NA,NA,NA,0.582,0,2,1,2016-03-24,2016-04-14,21,"RIJC017"
"1058","209",3,1.42,1.259,0.161,0.301,NA,NA,NA,NA,1.721,0,2,1,2016-03-24,2016-04-21,28,"RIJC017"
"1059","209",4,3.451,2.5,0.951,0.952,NA,NA,NA,NA,4.403,0,2,1,2016-03-24,2016-04-28,35,"RIJC017"
"1060","209",5,10.678,4.662,6.016,3.456,NA,NA,NA,NA,14.134,0,2,1,2016-03-24,2016-05-05,42,"RIJC017"
"1061","209",6,20.12,5.93,14.19,14.41,NA,NA,6.51,NA,41.04,0,2,1,2016-03-24,2016-05-12,49,"RIJC017"
"1062","209",7,29.83,6.84,22.99,19.52,NA,NA,5.126,NA,54.476,0,2,1,2016-03-24,2016-05-19,56,"RIJC017"
"1063","209",8,52.61,52.61,14.506,31.356,0,NA,19.574,NA,103.54,0,2,1,2016-03-24,2016-05-26,63,"RIJC017"
"1064","209",9,18.3,NA,18.3,27.12,0.491,NA,35.793,NA,81.704,0,2,1,2016-03-24,2016-06-02,70,"RIJC017"
"1065","209",10,14.41,NA,14.41,23.49,0.006,NA,40.45,NA,78.356,0,2,1,2016-03-24,2016-06-09,77,"RIJC017"
"1066","209",11,1.054,NA,1.054,22.066,0.631,0.0105,NA,39.556,63.3175,0,2,1,2016-03-24,2016-06-27,95,"RIJC017"
"1067","21",1,0.168,0.168,NA,0.023,NA,NA,NA,NA,0.191,0,1,1,2016-03-23,2016-04-05,13,"RIJC003"
"1068","21",2,0.6664,0.6664,NA,0.0954,NA,NA,NA,NA,0.7618,0,1,1,2016-03-23,2016-04-12,20,"RIJC003"
"1069","21",3,2.022,1.649,0.373,0.425,NA,NA,NA,NA,2.447,0,1,1,2016-03-23,2016-04-19,27,"RIJC003"
"1070","21",5,10.386,3.159,7.227,5.453,NA,NA,0.645,NA,16.484,0,1,1,2016-03-23,2016-05-03,41,"RIJC003"
"1071","21",6,17.808,3.338,14.47,11.53,NA,2.936,NA,NA,32.274,0,1,1,2016-03-23,2016-05-10,48,"RIJC003"
"1072","21",7,17.269,1.529,15.74,14.77,NA,NA,20.391,NA,52.43,0,1,1,2016-03-23,2016-05-17,55,"RIJC003"
"1073","21",8,27.773,4.373,23.4,24.12,NA,NA,12.398,NA,64.291,0,1,1,2016-03-23,2016-05-24,62,"RIJC003"
"1074","21",9,10.02,NA,10.02,13.62,NA,NA,29.787,NA,53.427,0,1,1,2016-03-23,2016-05-31,69,"RIJC003"
"1075","21",10,13.28,NA,13.28,34.74,3.062,NA,23.766,NA,74.848,0,1,1,2016-03-23,2016-06-07,76,"RIJC003"
"1076","21",11,0,NA,NA,17.78,3.671,NA,NA,34.569,56.02,0,1,1,2016-03-23,2016-07-07,106,"RIJC003"
"1077","210",2,0.2005,0.2005,NA,0.0528,NA,NA,NA,NA,0.2533,0,2,1,2016-03-24,2016-04-14,21,"RIJC337"
"1078","210",3,0.51,0.51,NA,0.133,NA,NA,NA,NA,0.643,0,2,1,2016-03-24,2016-04-21,28,"RIJC337"
"1079","210",4,2.3,2.08,0.22,0.9,NA,NA,NA,NA,3.2,0,2,1,2016-03-24,2016-04-28,35,"RIJC337"
"1080","210",5,6.844,2.434,4.41,3.642,NA,NA,NA,NA,10.486,0,2,1,2016-03-24,2016-05-05,42,"RIJC337"
"1081","210",6,11.548,2.897,8.651,5.769,NA,NA,0.142,NA,17.459,0,2,1,2016-03-24,2016-05-12,49,"RIJC337"
"1082","210",7,27.28,5.1,22.18,20.91,NA,NA,0.199,NA,48.389,0,2,1,2016-03-24,2016-05-19,56,"RIJC337"
"1083","210",8,26.5145,6.2585,20.256,24.196,NA,NA,3.2085,NA,53.919,0,2,1,2016-03-24,2016-05-26,63,"RIJC337"
"1084","210",9,30.28,NA,30.28,45.23,0.549,NA,8.323,NA,84.382,0,2,1,2016-03-24,2016-06-02,70,"RIJC337"
"1085","210",10,47.2,NA,47.2,78.36,2.919,NA,18.036,NA,146.515,0,2,1,2016-03-24,2016-06-09,77,"RIJC337"
"1086","210",11,4.312,NA,4.312,50.88,1.232,0.199,NA,15.773,72.396,0,2,1,2016-03-24,2016-07-14,112,"RIJC337"
"1087","211",1,0.1516,0.1516,NA,0.0202,NA,NA,NA,NA,0.1718,0,2,1,2016-03-24,2016-04-07,14,"RIJC217"
"1088","211",2,0.4928,0.4928,NA,0.1859,NA,NA,NA,NA,0.6787,0,2,1,2016-03-24,2016-04-14,21,"RIJC217"
"1089","211",3,2.087,1.828,0.259,0.456,NA,NA,NA,NA,2.543,0,2,1,2016-03-24,2016-04-21,28,"RIJC217"
"1090","211",4,4.74,1.536,3.204,1.705,NA,NA,NA,NA,6.445,0,2,1,2016-03-24,2016-04-28,35,"RIJC217"
"1091","211",5,10.162,2.873,7.289,6.337,NA,NA,0.435,NA,16.934,0,2,1,2016-03-24,2016-05-05,42,"RIJC217"
"1092","211",6,11.54,3.11,8.43,9.47,NA,NA,1.12,NA,22.13,0,2,1,2016-03-24,2016-05-12,49,"RIJC217"
"1093","211",7,14.613,3.223,11.39,18.44,NA,NA,14.889,NA,47.942,0,2,1,2016-03-24,2016-05-19,56,"RIJC217"
"1094","211",8,9.284,2.684,6.6,10.88,NA,NA,22.433,NA,42.597,0,2,1,2016-03-24,2016-05-26,63,"RIJC217"
"1095","211",10,2.02,NA,2.02,8.12,0.459,NA,16.132,NA,26.731,0,2,1,2016-03-24,2016-06-09,77,"RIJC217"
"1096","211",11,0.12,NA,0.12,12.03,0.2,2.97,NA,46.55,61.87,0,2,1,2016-03-24,2016-06-16,84,"RIJC217"
"1097","212",1,0.0604,0.0604,NA,0.0157,NA,NA,NA,NA,0.0761,0,2,1,2016-03-24,2016-04-07,14,"RIJC330"
"1098","212",2,0.5088,0.4891,0.0197,0.0838,NA,NA,NA,NA,0.5926,0,2,1,2016-03-24,2016-04-14,21,"RIJC330"
"1099","212",3,3.261,2.696,0.565,0.914,NA,NA,NA,NA,4.175,0,2,1,2016-03-24,2016-04-21,28,"RIJC330"
"1100","212",4,3.418,2.633,0.785,1.514,NA,NA,NA,NA,4.932,0,2,1,2016-03-24,2016-04-28,35,"RIJC330"
"1101","212",5,13.617,4.664,8.953,9.695,NA,NA,NA,NA,23.312,0,2,1,2016-03-24,2016-05-05,42,"RIJC330"
"1102","212",6,5.519,3.019,2.5,4.97,NA,NA,0.892,NA,11.381,0,2,1,2016-03-24,2016-05-12,49,"RIJC330"
"1103","212",7,17.915,7.225,10.69,17.99,NA,NA,4.288,NA,40.193,0,2,1,2016-03-24,2016-05-19,56,"RIJC330"
"1104","212",8,12.361,1.471,10.89,18.68,NA,NA,13.721,NA,44.762,0,2,1,2016-03-24,2016-05-26,63,"RIJC330"
"1105","212",9,19.54,NA,19.54,31.42,1.045,NA,14.66,NA,66.665,0,2,1,2016-03-24,2016-06-02,70,"RIJC330"
"1106","212",10,9.98,NA,9.98,14.23,4.271,NA,3.461,NA,31.942,0,2,1,2016-03-24,2016-06-09,77,"RIJC330"
"1107","212",11,1.993,NA,1.993,17.02,4.55,0.05,NA,35.325,58.938,0,2,1,2016-03-24,2016-06-27,95,"RIJC330"
"1108","213",1,0.0638,0.0638,NA,0.0081,NA,NA,NA,NA,0.0719,0,2,1,2016-03-24,2016-04-07,14,"RIJC025"
"1109","213",2,0.284,0.284,NA,0.0394,NA,NA,NA,NA,0.3234,0,2,1,2016-03-24,2016-04-14,21,"RIJC025"
"1110","213",4,3.753,2.853,0.9,0.852,NA,NA,NA,NA,4.605,0,2,1,2016-03-24,2016-04-28,35,"RIJC025"
"1111","213",5,7.396,2.188,5.208,2.836,NA,NA,NA,NA,10.232,0,2,1,2016-03-24,2016-05-05,42,"RIJC025"
"1112","213",6,13.71,5.57,8.14,8.11,NA,NA,NA,NA,21.82,0,2,1,2016-03-24,2016-05-12,49,"RIJC025"
"1113","213",7,15.64,4.11,11.53,10.11,0,NA,0.89,NA,26.64,0,2,1,2016-03-24,2016-05-19,56,"RIJC025"
"1114","213",8,16.06,2.192,13.868,14.216,NA,NA,3.481,NA,33.757,0,2,1,2016-03-24,2016-05-26,63,"RIJC025"
"1115","213",9,16.32,NA,16.32,14.83,0.13,NA,5.68,NA,36.96,0,2,1,2016-03-24,2016-06-02,70,"RIJC025"
"1116","213",10,29.46,NA,29.46,35.04,0.728,NA,25.194,NA,90.422,0,2,1,2016-03-24,2016-06-09,77,"RIJC025"
"1117","213",11,0,NA,0,20.54,0.409,0,NA,39.229,60.178,0,2,1,2016-03-24,2016-07-13,111,"RIJC025"
"1118","214",1,0.1571,0.1571,NA,0.0223,NA,NA,NA,NA,0.1794,0,2,1,2016-03-24,2016-04-07,14,"RIJC136"
"1119","214",2,0.5566,0.5192,0.0374,0.0762,NA,NA,NA,NA,0.6328,0,2,1,2016-03-24,2016-04-14,21,"RIJC136"
"1120","214",3,1.756,1.572,0.184,0.437,NA,NA,NA,NA,2.193,0,2,1,2016-03-24,2016-04-21,28,"RIJC136"
"1121","214",4,2.21,1.89,0.32,0.77,NA,NA,NA,NA,2.98,0,2,1,2016-03-24,2016-04-28,35,"RIJC136"
"1122","214",5,11.406,5.088,6.318,4.904,NA,NA,NA,NA,16.31,0,2,1,2016-03-24,2016-05-05,42,"RIJC136"
"1123","214",6,12.305,6.395,5.91,5.28,NA,NA,0.443,NA,18.028,0,2,1,2016-03-24,2016-05-12,49,"RIJC136"
"1124","214",8,14.574,3.754,10.82,14.15,NA,NA,1.988,NA,30.712,0,2,1,2016-03-24,2016-05-26,63,"RIJC136"
"1125","214",9,21.04,NA,21.04,17.49,0.17,NA,1.39,NA,40.09,0,2,1,2016-03-24,2016-06-02,70,"RIJC136"
"1126","214",10,19.02,NA,19.02,23.98,0.902,NA,14.747,NA,58.649,0,2,1,2016-03-24,2016-06-09,77,"RIJC136"
"1127","214",11,10.22,NA,10.22,47.52,8.68,2.53,NA,18.28,87.23,0,2,1,2016-03-24,2016-07-14,112,"RIJC136"
"1128","215",1,0.2468,0.2468,NA,0.0232,NA,NA,NA,NA,0.27,0,2,1,2016-03-24,2016-04-07,14,"RIJC003"
"1129","215",2,0.7309,0.6762,0.0547,0.1354,NA,NA,NA,NA,0.8663,0,2,1,2016-03-24,2016-04-14,21,"RIJC003"
"1130","215",3,2.815,1.995,0.82,0.742,NA,NA,NA,NA,3.557,0,2,1,2016-03-24,2016-04-21,28,"RIJC003"
"1131","215",4,6.595,2.107,4.488,2.361,NA,NA,NA,NA,8.956,0,2,1,2016-03-24,2016-04-28,35,"RIJC003"
"1132","215",5,11.492,2.503,8.989,7.142,NA,NA,1.052,NA,19.686,0,2,1,2016-03-24,2016-05-05,42,"RIJC003"
"1133","215",6,21.571,3.041,18.53,11.38,NA,NA,2.202,NA,35.153,0,2,1,2016-03-24,2016-05-12,49,"RIJC003"
"1134","215",7,14.564,3.154,11.41,12.43,NA,NA,3.617,NA,30.611,0,2,1,2016-03-24,2016-05-19,56,"RIJC003"
"1135","215",8,17.705,1.035,16.67,27.33,NA,NA,6.692,NA,51.727,0,2,1,2016-03-24,2016-05-26,63,"RIJC003"
"1136","215",9,22.41,NA,22.41,31.16,2.017,NA,37.328,NA,92.915,0,2,1,2016-03-24,2016-06-02,70,"RIJC003"
"1137","215",10,32.31,NA,32.31,41.28,1.3065,NA,30.94,NA,105.8365,0,2,1,2016-03-24,2016-06-09,77,"RIJC003"
"1138","215",11,3.575,NA,3.575,41.53,2.371,1.69,NA,32.37,81.536,0,2,1,2016-03-24,2016-06-27,95,"RIJC003"
"1139","216",1,0.12165,0.12165,NA,0.02025,NA,NA,NA,NA,0.1419,0,2,1,2016-03-24,2016-04-07,14,"RIJC262"
"1140","216",2,0.3277,0.3277,NA,0.0515,NA,NA,NA,NA,0.3792,0,2,1,2016-03-24,2016-04-14,21,"RIJC262"
"1141","216",4,3.897,2.815,1.082,1.101,NA,NA,NA,NA,4.998,0,2,1,2016-03-24,2016-04-28,35,"RIJC262"
"1142","216",5,9.671,4.545,5.126,3.969,NA,NA,NA,NA,13.64,0,2,1,2016-03-24,2016-05-05,42,"RIJC262"
"1143","216",6,12.63,4.39,8.24,9.06,NA,NA,NA,NA,21.69,0,2,1,2016-03-24,2016-05-12,49,"RIJC262"
"1144","216",7,29.74,5.77,23.97,21.92,NA,NA,0.155,NA,51.815,0,2,1,2016-03-24,2016-05-19,56,"RIJC262"
"1145","216",9,30.26,NA,30.26,32.24,0.089,NA,2.554,NA,65.143,0,2,1,2016-03-24,2016-06-02,70,"RIJC262"
"1146","216",11,7.44,NA,7.44,64.98,5.705,0,NA,28.732,106.857,0,2,1,2016-03-24,2016-07-14,112,"RIJC262"
"1147","217",1,0.1161,0.1161,NA,0.0188,NA,NA,NA,NA,0.1349,0,2,1,2016-03-24,2016-04-07,14,"RIJC230"
"1148","217",2,0.5367,0.5367,NA,0.0973,NA,NA,NA,NA,0.634,0,2,1,2016-03-24,2016-04-14,21,"RIJC230"
"1149","217",3,1.394,1.318,0.076,0.353,NA,NA,NA,NA,1.747,0,2,1,2016-03-24,2016-04-21,28,"RIJC230"
"1150","217",4,3.007,2.125,0.882,NA,NA,NA,NA,NA,3.007,0,2,1,2016-03-24,2016-04-28,35,"RIJC230"
"1151","217",5,9.014,5.092,3.922,2.534,NA,NA,NA,NA,11.548,0,2,1,2016-03-24,2016-05-05,42,"RIJC230"
"1152","217",6,8.06,4.72,3.34,4.86,NA,NA,NA,NA,12.92,0,2,1,2016-03-24,2016-05-12,49,"RIJC230"
"1153","217",7,23.853,9.603,14.25,13.282,NA,NA,1.561,NA,38.696,0,2,1,2016-03-24,2016-05-19,56,"RIJC230"
"1154","217",8,10.414,4.704,5.71,8.07,NA,NA,4.385,NA,22.869,0,2,1,2016-03-24,2016-05-26,63,"RIJC230"
"1155","217",9,12.23,NA,12.23,14.61,NA,NA,5.252,NA,32.092,0,2,1,2016-03-24,2016-06-02,70,"RIJC230"
"1156","217",10,10.53,NA,10.53,11.69,0,NA,18.97,NA,41.19,0,2,1,2016-03-24,2016-06-09,77,"RIJC230"
"1157","218",4,1.68,1.56,0.12,0.47,NA,NA,NA,NA,2.15,0,2,1,2016-03-24,2016-04-28,35,"RIJC235"
"1158","218",6,11.862,7.732,4.13,4.49,NA,NA,NA,NA,16.352,0,2,1,2016-03-24,2016-05-12,49,"RIJC235"
"1159","218",7,23.744,8.184,15.56,15.62,NA,NA,3.354,NA,42.718,0,2,1,2016-03-24,2016-05-19,56,"RIJC235"
"1160","218",8,15.358,2.318,13.04,13.99,NA,NA,1.537,NA,30.885,0,2,1,2016-03-24,2016-05-26,63,"RIJC235"
"1161","218",10,18.27,NA,18.27,28.46,NA,NA,13.83,NA,60.56,0,2,1,2016-03-24,2016-06-09,77,"RIJC235"
"1162","218",11,11.38,NA,11.38,45.79,2.42,1.59,NA,25.53,86.71,0,2,1,2016-03-24,2016-07-13,111,"RIJC235"
"1163","219",1,0.1296,0.1296,NA,0.0219,NA,NA,NA,NA,0.1515,0,2,1,2016-03-24,2016-04-07,14,"RIJC147"
"1164","219",2,0.5719,0.5199,0.052,0.1121,NA,NA,NA,NA,0.684,0,2,1,2016-03-24,2016-04-14,21,"RIJC147"
"1165","219",3,1.229,1.191,0.038,0.314,NA,NA,NA,NA,1.543,0,2,1,2016-03-24,2016-04-21,28,"RIJC147"
"1166","219",4,3.12,2.538,0.582,1.09,NA,NA,NA,NA,4.21,0,2,1,2016-03-24,2016-04-28,35,"RIJC147"
"1167","219",5,12.363,5.634,6.729,6.593,NA,NA,NA,NA,18.956,0,2,1,2016-03-24,2016-05-05,42,"RIJC147"
"1168","219",6,10.573,8.583,1.99,5.3,NA,NA,0.218,NA,16.091,0,2,1,2016-03-24,2016-05-12,49,"RIJC147"
"1169","219",7,20.83,8.31,12.52,17.97,NA,NA,0.243,NA,39.043,0,2,1,2016-03-24,2016-05-19,56,"RIJC147"
"1170","219",8,15.123,6.604,8.519,21.148,NA,NA,0.594,NA,36.865,0,2,1,2016-03-24,2016-05-26,63,"RIJC147"
