"","RIL","DIPI.x","DIPI.y"
"76","RIJC201",NA,NA
"77","RIJC202",NA,NA
"78","RIJC203",0.2416028525,0.286014780666667
"79","RIJC204",NA,NA
"80","RIJC205",0.3618472905,0.261477798
"81","RIJC206",0.2662679985,0.363096715833333
"82","RIJC207",NA,NA
"83","RIJC208",0.271163643833333,0.2961063345
"84","RIJC209",NA,NA
"85","RIJC210",NA,NA
"86","RIJC212",0.3579767615,0.3046300095
"87","RIJC213",NA,NA
"88","RIJC214",0.299796202166667,0.260686771
"89","RIJC216",NA,NA
"90","RIJC217",0.2346858305,0.339828366333333
"91","RIJC218",NA,NA
"92","RIJC219",NA,NA
"93","RIJC220",0.367368314166667,0.451871052
"94","RIJC221",NA,NA
"95","RIJC223",0.232216833666667,0.227642673666667
"96","RIJC224",0.380816759,0.211000316166667
"97","RIJC225",0.3476206585,0.3282081195
"98","RIJC226",NA,NA
"99","RIJC229",NA,NA
"100","RIJC230",0.2914019865,0.249953236833333
"101","RIJC231",NA,NA
"102","RIJC232",0.2528735835,0.263378560833333
"103","RIJC233",0.253136944833333,0.315663802333333
"104","RIJC234",0.233718356166667,0.300427992333333
"105","RIJC235",0.265522355833333,0.205267181
"106","RIJC236",0.302160697,0.227174576666667
"107","RIJC237",0.232513825333333,0.314675897833333
"108","RIJC238",0.225514738166667,0.278510692
"109","RIJC242",NA,0.304750091
"110","RIJC243",0.3383463185,0.328787343666667
"111","RIJC244",0.250061324666667,0.302752904833333
"112","RIJC245",NA,NA
"113","RIJC247",0.176854589833333,0.241274734666667
"114","RIJC248",0.324577095833333,0.321032345833333
"115","RIJC249",NA,NA
"116","RIJC250",0.189056684,0.191439525666667
"117","RIJC251",0.195561517833333,0.2601440045
"118","RIJC252",NA,NA
"119","RIJC253",NA,NA
"120","RIJC254",0.214303592333333,0.274811410166667
"121","RIJC255",0.249667918333333,0.2323479445
"122","RIJC256",NA,NA
"123","RIJC257",NA,NA
"124","RIJC259",NA,NA
"125","RIJC261",0.213035167833333,0.294835276333333
"126","RIJC262",0.267809072666667,0.225297733
"127","RIJC264",0.310434221666667,0.444055383833333
"128","RIJC301",NA,NA
"129","RIJC302",0.279101557166667,0.253003542
"130","RIJC303",NA,NA
"131","RIJC305",NA,NA
"132","RIJC306",NA,NA
"133","RIJC307",NA,NA
"134","RIJC309",NA,NA
"135","RIJC310",NA,NA
"136","RIJC311",NA,NA
"137","RIJC312",NA,NA
"138","RIJC313",0.306796778833333,0.288557159
"139","RIJC314",0.273470638666667,0.3984773375
"140","RIJC316",0.389962514333333,0.225641850666667
"141","RIJC317",NA,NA
"142","RIJC318",NA,NA
"143","RIJC319",0.359227539833333,0.443681713333333
"144","RIJC320",NA,NA
"145","RIJC321",NA,NA
"146","RIJC322",NA,NA
"147","RIJC325",NA,NA
"148","RIJC326",0.3158195055,0.3501199465
"149","RIJC327",0.203842231333333,0.255566909666667
"150","RIJC328",NA,NA
"151","RIJC330",0.3310370605,0.314969184
"152","RIJC332",NA,NA
"153","RIJC334",0.373154290166667,0.348328080333333
"154","RIJC335",0.0929899145,0.265864486666667
"155","RIJC337",0.276988923,0.275539608333333
"156","RIJC339",NA,NA
"157","RIJC340",NA,NA
"158","RIJC341",NA,NA
"159","RIJC342",NA,NA
"160","RIJC343",NA,NA
"161","RIJC344",0.324180545333333,0.334795728
"162","RIJC346",NA,NA
"163","RIJC347",0.308847297,0.338254302333333
"164","RIJC348",0.1525871485,0.218537893
"165","RIJC349",NA,NA
"166","RIJC350",NA,NA
"167","RIJC351",NA,NA
"168","RIJC352",0.251738897,0.384117369
"169","RIJC353",NA,NA
"170","RIJC354",NA,NA
"171","RIJC355",0.226932396333333,0.2066859195
"172","RIJC356",NA,NA
"173","RIJC357",NA,NA
"174","RIJC358",NA,NA
"175","RIJC360",NA,NA
"176","RIJC361",0.263496466,0.211694581833333
"177","RIJC362",NA,NA
"178","RIJC363",0.244871249666667,0.302955856166667
"179","RIJC364",NA,0.1938667025
"180","RIJC366",NA,NA
"181","RIJC367",0.270800432,0.235882987333333
"182","RIJC368",0.305663903,0.2266432045
"183","RIJC369",NA,NA
"184","RIJC370",NA,0.202248962833333
"185","RIJC371",NA,NA
"186","RIJC372",0.258146647666667,0.234552847333333
"187","RIJC373",0.374064144666667,0.3339694875
"188","RIJC374",0.293131963166667,0.289117755166667
"189","RIJC375",NA,NA
