"","site","geno","DAP","PI"
"203",1,"RIJC324",20,2.60600660416667
"204",2,"RIJC324",19,2.65077794033333
"205",1,"RIJC326",19,2.26491481933333
"206",2,"RIJC326",19,3.23742981133333
"207",1,"RIJC327",19.5,2.76793071616667
"208",2,"RIJC327",19,3.09484803033333
"209",1,"RIJC330",19.5,3.121834434
"210",2,"RIJC330",19,3.98928528883333
"211",1,"RIJC331",19.5,2.9124606805
"212",2,"RIJC331",19,3.06089409916667
"213",1,"RIJC334",20,2.86622551816667
"214",2,"RIJC334",19,3.47239211566667
"215",1,"RIJC335",19.5,2.86858847133333
"216",2,"RIJC335",19,3.18175176066667
"217",1,"RIJC337",19.5,2.73704120616667
"218",2,"RIJC337",19,3.18079709466667
"219",1,"RIJC344",20,2.65631431083333
"220",2,"RIJC344",19,2.849161032
"221",1,"RIJC347",19,3.09430017016667
"222",2,"RIJC347",19,3.33630655283333
"223",1,"RIJC348",19,3.0765182415
"224",2,"RIJC348",19,2.83524908433333
"225",1,"RIJC352",19.5,1.84569782833333
"226",2,"RIJC352",19,3.62299003883333
"227",1,"RIJC355",19.5,2.17315083583333
"228",2,"RIJC355",19,2.276821505
"229",1,"RIJC361",20,2.574814892
"230",2,"RIJC361",19,2.6960529945
"231",1,"RIJC363",19.5,3.46273400383333
"232",2,"RIJC363",19,3.67049164733333
"234",2,"RIJC364",19,2.4169803005
"235",1,"RIJC367",20,2.8077593595
"236",2,"RIJC367",19,3.45554100416667
"237",1,"RIJC368",19,2.63732338383333
"238",2,"RIJC368",19,2.44556646883333
"240",2,"RIJC370",19,2.79599008466667
"241",1,"RIJC372",19,2.6195611245
"242",2,"RIJC372",19,3.03281896583333
"243",1,"RIJC373",19,2.35865056716667
"244",2,"RIJC373",19,3.298307478
"245",1,"RIJC374",19.5,2.21766955683333
"246",2,"RIJC374",19,3.4972938915
"248",2,"Seaforth",19,3.94879779466667
"249",1,"Tepary22",15.5,2.48858732533333
"250",2,"Tepary22",19,5.46684780483333
"251",1,"Tepary32",15.5,2.20843439433333
"252",2,"Tepary32",19,5.35626030716667
"253",1,"TM1",19.5,3.5400491535
"254",2,"TM1",19,3.93737033366667
"255",1,"TM10",19.5,3.50624865166667
"256",2,"TM10",19,3.4894578775
"257",1,"TM2",19.5,3.1630798775
"258",2,"TM2",19,4.18286747916667
"259",1,"TM3",19,2.92787618966667
"260",2,"TM3",19,3.52783738283333
"261",1,"TM4",19,3.2305178255
"262",2,"TM4",19,3.83791600533333
"263",1,"TM5",19.5,2.604545994
"264",2,"TM5",19,3.34944673416667
"265",1,"TM6",20,3.07337500833333
"266",2,"TM6",19,3.2161878335
"267",1,"TM7",19.5,2.76775119916667
"268",2,"TM7",19,3.7230599065
"269",1,"TM8",20,2.5137073005
"270",2,"TM8",19,3.616867421
"271",1,"TM9",19,3.11711786516667
"272",2,"TM9",19,3.50570041983333
"273",1,"VAX1",15.5,1.5062378195
"274",2,"VAX1",19,3.3906916745
"275",1,"Vista",15.5,1.781185375
"276",2,"Vista",19,3.63344850816667
"277",1,"AC compass",18,2.40223089116667
"278",2,"AC compass",24,5.20231987833333
"279",1,"Avalanche",18,2.42049945016667
"280",2,"Avalanche",24,6.09821091866667
"281",1,"CAL",22,3.93431361008333
"282",2,"CAL",24,5.38725599190909
"283",1,"CDCWM2",18,3.05594912316667
"284",2,"CDCWM2",24,5.88372267433333
"285",1,"Centa Pupil",18,2.75917631116667
"286",2,"Centa Pupil",24,4.960070759
"287",1,"Envoy",18,3.4184743015
"288",2,"Envoy",24,6.66165427233333
"289",1,"Expresso",18,2.62653509783333
"290",2,"Expressso",24,5.0198164345
"291",1,"JAM",22.25,3.76744983875
"292",2,"JAM",24,4.26617660658333
"295",1,"Lightning",18,2.4336508635
"296",2,"Lightning",24,4.85836292666667
"297",1,"Nautica",18,2.04291382416667
"298",2,"Nautica",25,3.33990575466667
"299",1,"Navigator",18,2.28305517716667
"300",2,"Navigator",24,5.32439384216667
"301",1,"OACRex",18,1.91523317716667
"302",2,"OACRex",24,4.185304149
"305",1,"Portage",18,2.64831885683333
"306",2,"Portage",24,5.5431289995
"307",1,"Pv230",18,2.23352719216667
"308",2,"Pv230",24,5.54615320616667
"309",1,"Pv239",18,3.13020616783333
"310",2,"Pv239",24,7.51921210083333
"311",1,"RIJC001",22,3.21618524766667
"312",2,"RIJC001",24,4.570570786
"313",1,"RIJC002",22,3.05925214683333
"314",2,"RIJC002",24,4.35103288266667
"315",1,"RIJC003",22.5,4.13101123533333
"316",2,"RIJC003",24,5.774312125
"317",1,"RIJC004",22,3.1603025895
"318",2,"RIJC004",24,4.0722938196
"319",1,"RIJC005",22,3.33646047816667
"320",2,"RIJC005",24,4.71766221083333
"321",1,"RIJC015",22.5,3.37333216316667
"322",2,"RIJC015",24,4.53260670566667
"323",1,"RIJC016",22,3.4088528185
