,geno,site,slope,inter,r2
230,RIJC314,2,0.398477337,-3.975070524,0.979882534
231,RIJC316,2,0.225641851,0.345038127,0.864066514
232,RIJC319,2,0.443681713,-4.363620325,0.995222486
233,RIJC324,2,0.28470159,-2.938068684,0.930624769
234,RIJC326,2,0.350119947,-3.42120521,0.999938211
235,RIJC327,2,0.25556691,-1.786615654,0.998108618
236,RIJC330,2,0.314969184,-2.003791886,0.99985819
237,RIJC331,2,0.374264377,-4.052884108,0.99998984
238,RIJC334,2,0.34832808,-3.120855793,0.999036203
239,RIJC335,2,0.265864487,-1.817323779,0.992782889
240,RIJC337,2,0.275539608,-2.037862404,0.999320498
241,RIJC344,2,0.334795728,-3.436824581,0.990645433
242,RIJC347,2,0.338254302,-3.060263045,0.998501479
243,RIJC348,2,0.218537893,-1.274491714,0.992965489
244,RIJC352,2,0.384117369,-3.681850872,0.999944465
245,RIJC355,2,0.206685919,-1.690786934,0.992825523
246,RIJC361,2,0.211694582,-1.298502791,0.996813517
247,RIJC363,2,0.302955856,-2.072574004,0.999649779
248,RIJC364,2,0.193866702,-1.17986435,0.963917384
249,RIJC367,2,0.235882987,-0.99928147,0.997557685
250,RIJC368,2,0.226643204,-1.814001059,0.992117846
251,RIJC370,2,0.202248963,-1.088557738,0.99204797
252,RIJC372,2,0.234552847,-1.353521037,0.983498499
253,RIJC373,2,0.335227786,-3.048766581,0.999174392
254,RIJC374,2,0.289117755,-1.924660404,0.988730562
