HNO,plot,Code,cm^2,STDEV,Perimeter,Circ,,Round,Solidity,Lengths (cm) or Major,Minor,Angle,Length 2 cm
H10,65,P24,7.489,,16.605,,,,,6.856,1.391,176.134,
H10,65,P25,12.386,,22.722,,,,,11.045,1.428,3.182,
H10,65,P26,13.176,,24.392,,,,,11.562,1.451,4.117,
H10,65,P27,8.992,,29.014,,,,,7.552,1.516,173.809,
H10,65,P28,8.543,,26.328,,,,,7.802,1.394,6.466,
H10,65,P29,4.971,,21.529,,,,,6.103,1.037,12.141,
H10,65,P30,7.071,,26.423,,,,,7.478,1.204,7.769,
H10,65,P31,19.047,,30.805,,,,,14.006,1.732,10.477,
H10,65,P32,7.586,,17.315,,,,,7.7,1.254,173.659,
H10,65,P33,8.679,,31.573,,,,,8.453,1.307,8.082,
H10,65,P34,9.158,,30.097,,,,,7.979,1.462,176.573,
H10,65,P35,1.003,,12.045,,,,,1.993,0.641,27.192,
H10,65,P36,5.75,,21.776,,,,,6.741,1.086,174.182,
H10,65,P37,3.185,,15.71,,,,,3.837,1.057,10.291,
H10,65,P38,3.599,,16.141,,,,,4.079,1.123,9.286,
H10,65,P39,2.084,,13.482,,,,,5.161,0.514,170.499,
H10,65,P40,1.003,,12.045,,,,,1.993,0.641,27.192,
H1,365,PL1,12.929,,16.935,,,,,4.232,3.89,83.705,
H1,365,PL2,13.068,,17.294,,,,,4.299,3.87,164.232,
H1,365,V1,31.085,,32.751,,,,,8.747,4.525,148.626,
H1,365,V2,14.765,,24.59,,,,,4.416,4.257,51.561,
H1,365,V3,4.898,,15.032,,,,,2.669,2.337,123.743,
H1,365,Stem Area,2.915,,14.566,,,,,3.472,1.069,100.047,
H1,389,PL1,9.852,,15.157,,,,,4.271,2.937,175.793,
H1,389,PL2,10.41,,15.784,,,,,4.42,2.999,171.761,
H1,389,V1,41.035,,53.472,,,,,7.339,7.119,7.914,
H1,389,V2,30.399,,39.999,,,,,9.107,4.25,139.104,
H1,389,V3,1.783,,9.827,,,,,1.775,1.279,15.58,
H1,389,Stem Area,3.852,,20.15,,,,,3.32,1.477,81.045,
